time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.5843,-0.0289,-0.0691
20.0000,-1.4895,-0.0230,-0.0469
30.0000,-1.3573,0.1159,0.0964
40.0000,-1.2080,0.2029,0.1746
50.0000,-0.9965,0.1577,0.1986
60.0000,-0.6929,0.1816,0.1767
70.0000,-0.5424,0.2286,0.1029
80.0000,-0.3949,0.2072,0.1426
90.0000,-0.2685,0.1800,0.1807
100.0000,-0.2268,0.2020,0.1557
110.0000,-0.2483,0.2320,0.1102
120.0000,-0.2655,0.2442,0.0605
130.0000,-0.2807,0.2431,0.0778
140.0000,-0.3718,0.2441,0.1063
150.0000,-0.4472,0.2403,0.0976
160.0000,-0.2151,0.2486,0.0324
170.0000,-0.0673,0.2549,0.0356
180.0000,-0.0504,0.2270,0.0731
190.0000,-0.0310,0.2074,0.1262
200.0000,-0.0630,0.2339,0.0693
210.0000,-0.0987,0.1291,0.0765
220.0000,-0.0720,0.1216,0.0772
230.0000,-0.0160,0.0516,0.1606
240.0000,0.0852,0.0909,0.1758
250.0000,0.1299,0.1622,0.1995
260.0000,0.1138,0.1871,0.1795
270.0000,0.2171,0.2184,0.1289
280.0000,0.3149,0.2461,0.0849
290.0000,0.3754,0.2495,0.0436
300.0000,0.6270,0.2555,-0.0001
310.0000,0.9732,0.2467,0.0197
320.0000,1.1108,0.2225,0.0980
330.0000,1.2856,0.1437,0.2183
340.0000,1.3584,0.0327,0.2500
350.0000,1.4569,-0.0030,0.2282
360.0000,1.4331,-0.0310,0.2050
370.0000,1.3150,0.0717,0.1568
380.0000,1.2508,0.1948,0.1467
390.0000,0.9955,0.1898,0.1572
400.0000,0.7737,0.2266,0.1360
410.0000,0.5612,0.2075,0.1574
420.0000,0.3751,0.1316,0.2219
430.0000,0.1820,0.1355,0.2270
440.0000,0.2382,0.2212,0.1292
450.0000,0.2351,0.2381,0.0916
460.0000,0.3176,0.2577,0.0407
470.0000,0.5757,0.2524,-0.0169
480.0000,0.9153,0.2508,0.0470
490.0000,1.1588,0.0867,0.2426
500.0000,1.2611,0.0653,0.2552
510.0000,1.1530,0.0897,0.2428
520.0000,1.1614,0.1983,0.1832
530.0000,1.0758,0.2202,0.1499
540.0000,0.9354,0.2404,0.0985
550.0000,0.7769,0.2516,0.0930
560.0000,0.8260,0.2241,0.1264
570.0000,0.8760,0.2205,0.1279
580.0000,0.5185,0.2265,0.1191
590.0000,0.1250,0.2134,0.1402
600.0000,-0.1284,0.1213,0.2274
610.0000,-0.3821,0.0302,0.2495
620.0000,-0.6486,-0.0261,0.2532
630.0000,-0.8363,-0.0499,0.2364
640.0000,-1.0616,0.1016,0.1687
650.0000,-1.2105,0.2055,0.1646
660.0000,-1.2022,0.2225,0.1458
670.0000,-1.1200,0.2285,0.1375
680.0000,-1.2910,0.2691,0.0171
690.0000,-1.4237,0.2621,-0.0336
700.0000,-1.4476,0.2584,0.0320
710.0000,-1.3063,0.2312,0.1247
720.0000,-1.2527,0.2399,0.1178
730.0000,-0.9598,0.2489,0.1094
740.0000,-0.6306,0.2276,0.1285
750.0000,-0.3601,0.2318,0.1009
760.0000,-0.2388,0.2450,0.0556
770.0000,-0.0734,0.2178,0.0773
780.0000,0.1244,0.2165,0.1098
790.0000,0.3266,0.2298,0.1049
800.0000,0.6147,0.1884,0.1689
810.0000,0.6833,0.1643,0.2023
820.0000,0.4941,0.1820,0.1707
830.0000,0.2422,0.1945,0.1540
840.0000,0.0557,0.2440,0.0773
850.0000,0.0349,0.2510,0.0538
860.0000,-0.0266,0.2536,0.0117
870.0000,-0.0684,0.2521,0.0074
880.0000,-0.0312,0.2470,0.0760
890.0000,-0.0199,0.1549,0.1657
900.0000,-0.0477,0.1294,0.1290
910.0000,-0.1313,0.1496,0.1486
920.0000,-0.0651,0.0937,0.1494
930.0000,-0.0653,0.1037,0.1185
940.0000,-0.0863,0.1951,0.1451
950.0000,-0.0564,0.1495,0.1534
960.0000,-0.1091,0.2011,0.1632
970.0000,-0.1433,0.2518,0.0770
980.0000,-0.1331,0.2269,0.1477
990.0000,-0.2627,0.2073,0.1632
1000.0000,-0.3985,0.1343,0.2343
1010.0000,-0.4939,0.1209,0.2431
1020.0000,-0.5642,0.1008,0.2493
1030.0000,-0.4659,0.0486,0.2543
1040.0000,-0.7196,0.1271,0.2171
1050.0000,-1.0491,0.2551,0.0738
1060.0000,-1.1044,0.2618,0.0028
1070.0000,-1.0083,0.2609,0.0325
1080.0000,-0.9777,0.2465,0.0449
1090.0000,-0.9895,0.2509,0.0530
1100.0000,-0.8437,0.2326,0.1178
1110.0000,-0.7442,0.2254,0.1210
1120.0000,-0.5329,0.2319,0.1309
1130.0000,-0.2851,0.1719,0.2038
1140.0000,-0.2024,0.1284,0.2226
1150.0000,-0.1068,0.1113,0.2410
1160.0000,-0.0079,0.1192,0.2277
1170.0000,0.1579,0.1009,0.2361
1180.0000,0.3504,0.0949,0.2463
1190.0000,0.6841,0.1335,0.2004
1200.0000,0.9379,0.2285,0.1210
1210.0000,1.0980,0.2529,0.0414
1220.0000,1.1210,0.2581,0.0372
1230.0000,1.0221,0.2519,0.0674
1240.0000,0.9711,0.2496,0.0627
1250.0000,0.8569,0.2350,0.1034
1260.0000,0.8499,0.2466,0.0575
1270.0000,0.7825,0.2490,0.0688
1280.0000,0.6023,0.2321,0.1104
1290.0000,0.3046,0.2211,0.1295
1300.0000,0.0952,0.2346,0.1051
1310.0000,-0.1345,0.2120,0.0937
1320.0000,-0.2571,0.1707,0.1491
1330.0000,-0.2268,0.1704,0.1845
1340.0000,-0.1616,0.1567,0.2030
1350.0000,0.2322,0.2128,0.1474
1360.0000,0.4694,0.2304,0.0633
1370.0000,0.4006,0.2400,0.0650
1380.0000,0.3416,0.2246,0.1115
1390.0000,0.1852,0.2192,0.1104
1400.0000,0.0379,0.2299,0.0888
1410.0000,-0.1494,0.1886,0.1712
1420.0000,-0.3184,0.1127,0.2274
1430.0000,-0.5491,0.1352,0.2179
1440.0000,-0.7947,0.1165,0.2399
1450.0000,-0.7991,0.1679,0.2053
1460.0000,-0.9123,0.2154,0.1308
1470.0000,-1.0080,0.2456,0.1001
1480.0000,-1.3404,0.2155,0.1015
1490.0000,-1.5471,0.1852,0.1734
1500.0000,-1.4972,0.1148,0.2338
1510.0000,-1.4351,0.1357,0.2206
1520.0000,-1.3081,0.1760,0.1839
1530.0000,-0.9757,0.1698,0.1824
1540.0000,-0.6999,0.2141,0.1430
1550.0000,-0.4177,0.2061,0.1364
1560.0000,-0.1781,0.1769,0.1351
1570.0000,0.0092,0.2189,0.1251
1580.0000,0.2810,0.1958,0.1563
1590.0000,0.4678,0.1990,0.1060
