time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.0067,0.0389,0.0295
20.0000,-11.9641,-0.0085,0.0149
30.0000,-11.9053,-0.0497,0.2388
40.0000,-11.6790,-0.0133,0.2595
50.0000,-11.3931,0.0135,0.2599
60.0000,-11.0963,0.0383,0.2691
70.0000,-10.8320,0.0905,0.2534
80.0000,-10.5880,0.1023,0.2405
90.0000,-10.3975,0.0747,0.2461
100.0000,-10.1232,0.0653,0.2492
110.0000,-9.8823,-0.0007,0.2531
120.0000,-9.6125,-0.0556,0.2165
130.0000,-9.3836,-0.2017,0.1401
140.0000,-9.2052,-0.2527,0.0574
150.0000,-9.0178,-0.2606,0.0032
160.0000,-8.8293,-0.2616,-0.0164
170.0000,-8.5998,-0.2567,-0.0269
180.0000,-8.3652,-0.2507,-0.0107
190.0000,-8.1061,-0.2518,0.0162
200.0000,-7.9389,-0.2118,0.0736
210.0000,-7.8941,-0.2296,0.0657
220.0000,-7.8676,-0.2086,0.0460
230.0000,-7.7601,-0.1615,0.0391
240.0000,-7.6238,-0.1711,0.0129
250.0000,-7.5439,-0.1714,0.0541
260.0000,-7.4085,-0.1775,0.0870
270.0000,-7.3447,-0.1341,0.1697
280.0000,-7.3253,-0.1645,0.1956
290.0000,-7.3696,-0.1485,0.1963
300.0000,-7.3435,-0.1226,0.2025
310.0000,-7.2990,-0.1364,0.2165
320.0000,-7.1580,-0.0672,0.1679
330.0000,-7.0417,-0.0685,0.1651
340.0000,-6.9244,-0.1313,0.2064
350.0000,-6.7781,-0.1267,0.1599
360.0000,-6.7142,-0.1214,0.1356
370.0000,-6.5573,-0.1350,0.0986
380.0000,-6.4334,-0.1815,0.0976
390.0000,-6.2384,-0.2109,0.1134
400.0000,-6.1504,-0.1889,0.1215
410.0000,-6.1587,-0.0725,0.0977
420.0000,-6.1727,-0.0834,0.1276
430.0000,-6.1468,-0.0808,0.1374
440.0000,-6.1181,-0.0706,0.1425
450.0000,-6.0321,-0.1005,0.1200
460.0000,-5.9674,-0.0869,0.0720
470.0000,-5.8877,-0.1309,0.0565
480.0000,-5.7753,-0.1557,0.0520
490.0000,-5.6287,-0.1597,0.0693
500.0000,-5.4617,-0.1985,-0.0024
