Run,Time to reach center
1.0,350.0
2.0,420.0
3.0,230.0
4.0,560.0
5.0,
6.0,550.0
7.0,
8.0,350.0
9.0,1380.0
10.0,
11.0,310.0
12.0,940.0
13.0,460.0
14.0,
15.0,440.0
16.0,
17.0,
18.0,1110.0
19.0,1180.0
20.0,210.0
21.0,890.0
22.0,
23.0,840.0
24.0,700.0
25.0,870.0
26.0,
27.0,220.0
28.0,1120.0
29.0,670.0
30.0,210.0
31.0,1750.0
32.0,
33.0,700.0
34.0,1390.0
35.0,1460.0
36.0,990.0
37.0,490.0
38.0,620.0
39.0,
40.0,
41.0,1080.0
42.0,
43.0,1520.0
44.0,1410.0
45.0,230.0
46.0,
47.0,
48.0,4350.0
49.0,200.0
50.0,2930.0
51.0,1570.0
52.0,
53.0,
54.0,230.0
55.0,1090.0
56.0,
57.0,240.0
58.0,470.0
59.0,220.0
60.0,330.0
61.0,1570.0
62.0,6590.0
63.0,
64.0,
65.0,440.0
66.0,320.0
67.0,210.0
68.0,230.0
69.0,490.0
70.0,950.0
71.0,1710.0
72.0,330.0
73.0,
74.0,
75.0,300.0
76.0,2370.0
77.0,
78.0,1240.0
79.0,920.0
80.0,
81.0,970.0
82.0,920.0
83.0,7000.0
84.0,900.0
85.0,1200.0
86.0,400.0
87.0,3800.0
88.0,750.0
89.0,300.0
90.0,
91.0,800.0
92.0,630.0
93.0,1280.0
94.0,
95.0,4170.0
96.0,
97.0,970.0
98.0,
99.0,2420.0
100.0,700.0
