time,x,y,z
0.0000,-5.0000,0.0000,0.0000
10.0000,-5.0092,0.0237,0.0410
20.0000,-4.9689,-0.0060,0.0207
30.0000,-4.7026,-0.1297,0.0943
40.0000,-4.4227,-0.2164,0.1588
50.0000,-4.1523,-0.2122,0.1694
60.0000,-3.8846,-0.1829,0.2118
70.0000,-3.6699,-0.1288,0.2150
80.0000,-3.5531,0.0331,0.2600
90.0000,-3.4223,0.0751,0.2407
100.0000,-3.1995,-0.0362,0.2488
110.0000,-2.9901,-0.1739,0.1827
120.0000,-2.8128,-0.2622,0.0685
130.0000,-2.6228,-0.2759,0.0106
140.0000,-2.4292,-0.2787,0.0109
150.0000,-2.3386,-0.2700,0.0335
160.0000,-2.2116,-0.2294,0.1178
170.0000,-2.0918,-0.2356,0.1081
180.0000,-1.9270,-0.2071,0.1466
190.0000,-1.7334,-0.1661,0.1931
200.0000,-1.5174,-0.1931,0.1556
210.0000,-1.3201,-0.2531,0.0053
220.0000,-1.2073,-0.2413,-0.0723
230.0000,-1.1555,-0.2240,-0.1337
240.0000,-1.0936,-0.1914,-0.1426
250.0000,-1.0403,-0.1908,-0.0917
260.0000,-0.9446,-0.1816,-0.0477
270.0000,-0.8271,-0.2288,0.0259
280.0000,-0.7825,-0.2566,0.0034
290.0000,-0.7815,-0.2544,0.0226
300.0000,-0.7659,-0.2539,0.0381
310.0000,-0.7410,-0.2214,0.1137
320.0000,-0.7509,-0.1928,0.1358
330.0000,-0.8420,-0.1808,0.1714
340.0000,-0.8054,-0.1917,0.1720
350.0000,-0.6970,-0.1702,0.1857
360.0000,-0.4738,-0.2214,0.1248
370.0000,-0.2515,-0.2240,0.1209
380.0000,-0.0866,-0.2351,0.1037
390.0000,0.1048,-0.2470,0.0667
400.0000,0.2435,-0.2313,0.1036
410.0000,0.3086,-0.2267,0.1145
420.0000,0.3515,-0.2198,0.1211
430.0000,0.3876,-0.2159,0.1357
440.0000,0.5680,-0.2279,0.1183
450.0000,0.7308,-0.2169,0.1153
460.0000,0.9553,-0.2290,0.1033
470.0000,1.1664,-0.2413,0.0748
480.0000,1.2518,-0.2248,0.1187
490.0000,1.3528,-0.1978,0.1583
500.0000,1.4296,-0.1728,0.1936
510.0000,1.4845,-0.1871,0.1720
520.0000,1.5679,-0.1896,0.1749
530.0000,1.5756,-0.1784,0.1760
540.0000,1.4736,-0.2004,0.1724
550.0000,1.4304,-0.2095,0.1265
560.0000,1.3473,-0.2122,0.1016
570.0000,1.2595,-0.1877,0.0326
580.0000,1.1126,-0.1706,0.0631
590.0000,0.9357,-0.1678,0.0932
600.0000,0.8664,-0.1984,0.1355
610.0000,0.8594,-0.1608,0.1373
620.0000,0.8325,-0.1545,0.0954
630.0000,0.7909,-0.1427,0.0347
640.0000,0.7190,-0.1552,-0.0201
650.0000,0.7575,-0.1241,0.0358
660.0000,0.7319,-0.1417,0.0346
670.0000,0.6652,-0.1851,0.0418
680.0000,0.5975,-0.2408,0.1052
690.0000,0.4443,-0.2240,0.1137
700.0000,0.2319,-0.2074,0.1494
710.0000,0.1134,-0.1880,0.1644
720.0000,-0.0122,-0.1913,0.1665
730.0000,-0.1114,-0.1846,0.1729
740.0000,-0.0760,-0.1486,0.1402
750.0000,-0.0128,-0.1697,0.0898
760.0000,0.0468,-0.1352,0.0802
770.0000,0.0260,-0.2208,0.0964
780.0000,0.0156,-0.2342,0.0987
790.0000,0.1183,-0.2377,0.1051
800.0000,0.2331,-0.2065,0.1119
810.0000,0.2224,-0.2393,0.0502
820.0000,0.1547,-0.2429,0.0767
830.0000,0.0387,-0.2454,0.0396
840.0000,-0.1333,-0.2441,0.0584
850.0000,-0.2536,-0.2088,0.0080
860.0000,-0.3117,-0.2291,0.0986
870.0000,-0.2750,-0.2304,0.1148
880.0000,-0.0866,-0.2041,0.1562
890.0000,0.2169,-0.1921,0.1103
900.0000,0.4257,-0.2243,0.1058
910.0000,0.5959,-0.2243,0.0818
920.0000,0.7631,-0.2234,0.1063
930.0000,0.8348,-0.2093,0.1445
940.0000,1.0174,-0.1906,0.1632
950.0000,1.1345,-0.1974,0.1551
960.0000,1.2447,-0.1697,0.1608
970.0000,1.3492,-0.2119,0.1339
980.0000,1.4021,-0.2171,0.0564
990.0000,1.4775,-0.2516,0.0590
1000.0000,1.5474,-0.2598,0.0426
1010.0000,1.5875,-0.2532,-0.0242
1020.0000,1.5964,-0.2349,-0.0919
1030.0000,1.5244,-0.2016,-0.1238
1040.0000,1.4646,-0.1515,-0.1035
1050.0000,1.2710,-0.1403,-0.0758
1060.0000,1.0953,-0.1146,-0.0405
1070.0000,1.0156,-0.1003,-0.0018
1080.0000,0.9344,-0.1408,-0.0089
1090.0000,0.8501,-0.1745,-0.0713
1100.0000,0.7047,-0.1888,-0.1202
1110.0000,0.5567,-0.2229,-0.1341
1120.0000,0.3881,-0.2274,-0.1191
1130.0000,0.1151,-0.2414,-0.0824
1140.0000,-0.0949,-0.2630,-0.0109
1150.0000,-0.1780,-0.2506,0.0185
1160.0000,-0.3001,-0.2412,0.0042
1170.0000,-0.3961,-0.2541,0.0138
1180.0000,-0.4636,-0.2517,0.0401
