Config,mean,var,std
14_1,nan,nan,nan
14_16,nan,nan,nan
14_2,nan,nan,nan
14_4,nan,nan,nan
14_8,nan,nan,nan
28_1,nan,nan,nan
28_16,nan,nan,nan
28_2,nan,nan,nan
28_4,nan,nan,nan
28_8,nan,nan,nan
7_1,nan,nan,nan
7_16,nan,nan,nan
7_2,nan,nan,nan
7_4,nan,nan,nan
7_8,1318.8,1686288.5599999994,1298.5717384880973
