Config,mean,var,std
14_1,5.0325599447662395,0.07089723233442503,0.26626534197004503
14_16,3.8137261234096256,0.5971907051229877,0.7727811495649901
14_2,4.623302251758664,0.5719205426832619,0.7562542844065493
14_4,4.054173141939653,0.789785374975157,0.8886986975207948
14_8,3.9115821410685214,0.5301373700738027,0.728105328969513
28_1,11.972766281192367,0.12661116894306837,0.35582463228825006
28_16,8.138648650299778,1.4913903297735924,1.2212249300491669
28_2,11.698285552214958,0.33191032393869435,0.576116588841785
28_4,10.459923426807796,2.014383808617443,1.4192898959047946
28_8,9.042217039582788,2.278293340778696,1.5094016499191645
7_1,1.6009332785544494,0.04710508121690136,0.21703705033219872
7_16,1.1788861550367564,0.1558078712626523,0.39472505780942296
7_2,1.4017340081218848,0.13304033357455736,0.36474694457192836
7_4,1.257744182543549,0.13691627997785952,0.37002199931606705
7_8,1.2450465935547228,0.16729598727778094,0.40901832144511685
