Run,Time to reach center
1.0,590.0
2.0,130.0
3.0,440.0
4.0,1390.0
5.0,420.0
6.0,500.0
7.0,140.0
8.0,1610.0
9.0,110.0
10.0,100.0
11.0,130.0
12.0,310.0
13.0,800.0
14.0,140.0
15.0,820.0
16.0,610.0
17.0,220.0
18.0,270.0
19.0,110.0
20.0,530.0
21.0,530.0
22.0,100.0
23.0,320.0
24.0,450.0
25.0,150.0
26.0,110.0
27.0,250.0
28.0,520.0
29.0,1700.0
30.0,1380.0
31.0,700.0
32.0,250.0
33.0,100.0
34.0,1230.0
35.0,100.0
36.0,1260.0
37.0,110.0
38.0,320.0
39.0,100.0
40.0,720.0
41.0,110.0
42.0,310.0
43.0,1130.0
44.0,1390.0
45.0,460.0
46.0,2970.0
47.0,100.0
48.0,90.0
49.0,1080.0
50.0,120.0
51.0,470.0
52.0,240.0
53.0,2710.0
54.0,170.0
55.0,90.0
56.0,90.0
57.0,1030.0
58.0,100.0
59.0,690.0
60.0,410.0
61.0,420.0
62.0,300.0
63.0,360.0
64.0,430.0
65.0,1180.0
66.0,1900.0
67.0,120.0
68.0,870.0
69.0,140.0
70.0,230.0
71.0,120.0
72.0,80.0
73.0,920.0
74.0,110.0
75.0,110.0
76.0,310.0
77.0,330.0
78.0,100.0
79.0,740.0
80.0,2030.0
81.0,1750.0
82.0,230.0
83.0,140.0
84.0,140.0
85.0,270.0
86.0,90.0
87.0,110.0
88.0,90.0
89.0,560.0
90.0,130.0
91.0,250.0
92.0,460.0
93.0,1950.0
94.0,130.0
95.0,220.0
96.0,820.0
97.0,740.0
98.0,120.0
99.0,450.0
100.0,480.0
