time,x,y,z
0.0000,-5.0000,0.0000,0.0000
10.0000,-5.1555,-0.1709,-0.3930
20.0000,-5.1601,-0.1572,-0.3950
30.0000,-5.1301,-0.2132,-0.3279
40.0000,-5.1391,-0.1370,-0.3917
50.0000,-5.1044,-0.1639,-0.2839
60.0000,-5.0983,-0.2065,-0.2697
70.0000,-5.0891,-0.1909,-0.3158
80.0000,-5.0908,-0.1360,-0.3421
90.0000,-5.0001,-0.1678,-0.3037
100.0000,-4.9784,-0.1230,-0.2587
110.0000,-4.9592,-0.1332,-0.2591
120.0000,-4.9366,-0.1254,-0.3044
130.0000,-4.9557,-0.1285,-0.3334
140.0000,-4.9997,-0.1188,-0.3539
150.0000,-5.0503,-0.0627,-0.2591
160.0000,-5.0522,-0.1271,-0.2366
170.0000,-4.9791,-0.0808,-0.1872
180.0000,-4.9639,-0.0125,-0.1381
190.0000,-4.9993,0.0125,-0.1547
200.0000,-5.0492,0.1237,-0.1391
210.0000,-5.1078,0.1973,-0.1275
220.0000,-5.1515,0.2241,-0.0715
230.0000,-5.1938,0.3180,-0.0598
240.0000,-5.2394,0.4155,-0.0636
250.0000,-5.2388,0.4128,-0.0225
260.0000,-5.1835,0.4344,0.0323
270.0000,-5.1833,0.4203,0.1107
280.0000,-5.1881,0.4566,0.0955
290.0000,-5.2259,0.4740,0.0815
300.0000,-5.1925,0.4991,0.0904
310.0000,-5.2265,0.4382,0.1342
320.0000,-5.1936,0.4807,0.0762
330.0000,-5.1542,0.3913,0.0838
340.0000,-5.0944,0.3965,0.0599
350.0000,-5.0882,0.3549,0.0661
360.0000,-5.1435,0.3533,0.1098
370.0000,-5.2009,0.3867,0.1737
380.0000,-5.2284,0.4137,0.1425
390.0000,-5.2152,0.4586,0.0980
400.0000,-5.1943,0.4338,0.0845
410.0000,-5.2029,0.4695,0.1046
420.0000,-5.2007,0.4830,0.1477
430.0000,-5.2286,0.4392,0.1915
440.0000,-5.1471,0.4937,0.2568
450.0000,-5.1444,0.4149,0.2735
460.0000,-5.1931,0.3905,0.3356
470.0000,-5.1969,0.3670,0.2975
480.0000,-5.1819,0.2967,0.3547
490.0000,-5.2222,0.2521,0.3685
500.0000,-5.1297,0.2673,0.4443
510.0000,-5.1508,0.3158,0.3966
520.0000,-5.1843,0.2866,0.4564
530.0000,-5.1601,0.2938,0.5711
540.0000,-5.1523,0.3920,0.5194
550.0000,-5.2092,0.3579,0.5662
560.0000,-5.1635,0.3452,0.5526
570.0000,-5.1537,0.2873,0.5539
580.0000,-5.1824,0.2502,0.5694
590.0000,-5.0979,0.2592,0.6609
600.0000,-5.1321,0.3057,0.6068
610.0000,-5.0645,0.2636,0.7095
620.0000,-5.0621,0.2645,0.7513
630.0000,-5.0629,0.3178,0.6933
640.0000,-5.0369,0.3394,0.6839
650.0000,-5.0557,0.3128,0.6487
660.0000,-5.0925,0.3607,0.6664
670.0000,-5.0550,0.3566,0.6709
680.0000,-5.1079,0.3484,0.6712
690.0000,-5.0864,0.3181,0.7857
700.0000,-5.1029,0.3517,0.7736
710.0000,-5.1046,0.3411,0.7646
720.0000,-5.0550,0.3320,0.7853
730.0000,-5.1290,0.3441,0.7494
740.0000,-5.1864,0.4195,0.6872
750.0000,-5.1016,0.4585,0.7246
760.0000,-5.1330,0.4656,0.6873
770.0000,-5.0415,0.4153,0.6791
780.0000,-5.1486,0.3807,0.6312
790.0000,-5.1549,0.3788,0.6160
800.0000,-5.0820,0.4281,0.6067
810.0000,-5.1192,0.4263,0.5689
820.0000,-5.1635,0.4656,0.5586
830.0000,-5.0763,0.4530,0.6258
840.0000,-5.0335,0.5135,0.5609
850.0000,-4.9903,0.5629,0.5431
860.0000,-5.0378,0.6288,0.5157
870.0000,-5.0413,0.6853,0.5948
880.0000,-5.0413,0.7278,0.6770
890.0000,-5.1550,0.7215,0.7296
900.0000,-5.1069,0.8005,0.7503
910.0000,-5.1015,0.9146,0.7227
920.0000,-5.1005,0.9531,0.8101
930.0000,-5.0636,1.0032,0.8933
940.0000,-5.0191,1.0426,0.9161
950.0000,-4.9710,1.0016,0.9539
960.0000,-4.9770,1.0118,1.0325
970.0000,-5.0443,0.9324,1.0222
980.0000,-5.0536,0.9803,1.0062
990.0000,-5.0383,0.9749,0.9895
1000.0000,-5.0710,0.8773,0.9855
1010.0000,-5.0843,0.8717,1.0270
1020.0000,-5.0829,0.8744,1.0058
1030.0000,-5.0354,0.9584,0.9909
1040.0000,-5.0130,0.9111,0.9819
1050.0000,-4.9578,0.8483,0.9642
1060.0000,-4.8884,0.7941,0.9753
1070.0000,-4.9376,0.8078,0.9763
1080.0000,-4.8733,0.8479,1.0833
1090.0000,-4.8395,0.7844,1.1470
1100.0000,-4.7902,0.8015,1.1284
1110.0000,-4.7768,0.8021,1.1450
1120.0000,-4.7225,0.8109,1.1705
1130.0000,-4.6478,0.7849,1.1783
1140.0000,-4.6593,0.7940,1.1365
1150.0000,-4.6112,0.7774,1.1709
1160.0000,-4.6250,0.7726,1.2267
1170.0000,-4.6064,0.7880,1.2165
1180.0000,-4.6620,0.7296,1.2248
1190.0000,-4.7104,0.6790,1.2930
1200.0000,-4.7106,0.7402,1.2953
1210.0000,-4.7011,0.7525,1.3192
1220.0000,-4.6893,0.7701,1.3962
1230.0000,-4.6838,0.7514,1.4546
1240.0000,-4.7744,0.7884,1.5080
1250.0000,-4.9283,0.8093,1.4500
1260.0000,-4.9718,0.8483,1.4759
1270.0000,-4.9728,0.8095,1.4918
1280.0000,-4.9459,0.6739,1.4646
1290.0000,-4.9581,0.6079,1.2814
1300.0000,-4.8639,0.5985,1.1685
1310.0000,-4.8113,0.5201,1.0728
1320.0000,-4.7604,0.4477,0.9568
1330.0000,-4.6839,0.4188,0.9728
1340.0000,-4.7229,0.5214,0.9697
1350.0000,-4.7050,0.5187,0.9394
1360.0000,-4.7405,0.4856,1.0128
1370.0000,-4.8239,0.4786,0.9754
1380.0000,-4.8329,0.5472,0.9361
1390.0000,-4.7475,0.6007,0.9411
1400.0000,-4.7100,0.5736,0.9664
1410.0000,-4.7860,0.6139,0.9603
1420.0000,-4.8303,0.6353,0.8785
1430.0000,-4.8592,0.5833,0.8541
1440.0000,-4.8675,0.5165,0.8352
1450.0000,-4.9948,0.4882,0.7795
1460.0000,-4.9580,0.4557,0.8266
1470.0000,-4.9570,0.4984,0.8060
1480.0000,-4.9518,0.5263,0.7745
1490.0000,-4.9847,0.5225,0.7864
1500.0000,-5.0563,0.5787,0.8482
1510.0000,-5.0964,0.5807,0.8791
1520.0000,-4.9863,0.5846,0.8970
1530.0000,-4.9261,0.5792,0.9956
1540.0000,-4.8679,0.5857,0.9631
1550.0000,-4.9356,0.5733,1.0030
1560.0000,-4.9096,0.5469,0.9947
1570.0000,-4.9399,0.6050,1.0176
1580.0000,-4.9576,0.4923,1.0365
1590.0000,-4.9588,0.4996,1.0014
1600.0000,-4.9226,0.4046,1.0415
1610.0000,-4.9244,0.4083,1.0569
1620.0000,-4.9548,0.4021,1.0559
1630.0000,-4.9624,0.3733,1.1025
1640.0000,-4.9551,0.4123,1.0884
1650.0000,-4.8739,0.3801,1.1485
1660.0000,-4.9187,0.3348,1.1568
1670.0000,-4.9540,0.3375,1.1829
1680.0000,-5.0305,0.3745,1.1739
1690.0000,-5.0857,0.3333,1.2299
1700.0000,-5.1104,0.3104,1.1575
1710.0000,-5.0846,0.3396,1.2253
1720.0000,-5.0880,0.4148,1.2289
1730.0000,-5.0656,0.3973,1.2787
1740.0000,-5.0702,0.3908,1.3054
1750.0000,-5.0746,0.4066,1.2926
1760.0000,-5.0109,0.4420,1.4185
1770.0000,-5.0352,0.4336,1.3959
1780.0000,-5.0039,0.4476,1.5170
1790.0000,-5.0135,0.3842,1.4382
1800.0000,-5.0219,0.4175,1.4742
1810.0000,-5.0428,0.3560,1.4296
1820.0000,-4.9943,0.4692,1.5207
1830.0000,-4.9704,0.4677,1.6448
1840.0000,-4.9510,0.4969,1.6533
1850.0000,-4.9569,0.5626,1.6639
1860.0000,-4.9398,0.5663,1.6637
1870.0000,-4.9331,0.6258,1.7023
1880.0000,-4.8846,0.6105,1.7513
1890.0000,-4.9442,0.6350,1.6651
1900.0000,-4.9012,0.6872,1.7630
1910.0000,-4.8973,0.6519,1.7746
1920.0000,-4.9020,0.5967,1.7706
1930.0000,-4.9255,0.6690,1.7096
1940.0000,-4.9018,0.8041,1.6985
