time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-11.9894,0.1090,0.0290
20.0000,-11.9643,0.1447,0.0286
30.0000,-11.9227,0.1792,0.0410
40.0000,-11.7378,0.1604,0.0732
50.0000,-11.6610,0.1126,0.0872
60.0000,-11.5861,0.0500,0.1397
70.0000,-11.4959,0.0681,0.1566
80.0000,-11.4379,0.0702,0.1284
90.0000,-11.3556,0.1505,0.1301
100.0000,-11.3135,0.1308,0.1388
110.0000,-11.2307,0.1271,0.1637
120.0000,-11.1769,0.1287,0.1973
130.0000,-11.1181,0.1723,0.2377
140.0000,-11.0879,0.1696,0.2434
150.0000,-11.0361,0.2240,0.2743
160.0000,-10.9876,0.2695,0.2841
170.0000,-10.9229,0.3203,0.2717
180.0000,-10.9172,0.3377,0.2587
190.0000,-10.8808,0.3046,0.2714
200.0000,-10.7842,0.3328,0.2826
210.0000,-10.7407,0.3160,0.3148
220.0000,-10.7519,0.3308,0.2915
230.0000,-10.7419,0.3400,0.2810
240.0000,-10.7176,0.3497,0.2981
250.0000,-10.6813,0.3412,0.3154
260.0000,-10.6303,0.3531,0.2962
270.0000,-10.5895,0.3792,0.2862
280.0000,-10.5948,0.3966,0.2619
290.0000,-10.5834,0.3856,0.2796
300.0000,-10.5918,0.3711,0.2890
310.0000,-10.6106,0.4144,0.3518
320.0000,-10.6069,0.4087,0.3120
330.0000,-10.6528,0.4356,0.3506
340.0000,-10.7343,0.4406,0.3119
350.0000,-10.8273,0.4448,0.3259
360.0000,-10.9164,0.4320,0.3507
370.0000,-10.9294,0.4594,0.3843
380.0000,-10.8929,0.4521,0.4015
390.0000,-10.9166,0.4394,0.4568
400.0000,-10.9437,0.4522,0.4292
410.0000,-10.9185,0.4424,0.4425
420.0000,-10.9290,0.4110,0.4698
430.0000,-10.9268,0.4190,0.5105
440.0000,-10.9916,0.4125,0.5205
450.0000,-11.0309,0.4456,0.5894
460.0000,-11.0426,0.4458,0.6292
470.0000,-11.0477,0.4930,0.6121
480.0000,-11.0155,0.4895,0.5786
490.0000,-10.9348,0.4829,0.5893
500.0000,-10.9164,0.4777,0.5678
510.0000,-10.9241,0.4815,0.5627
520.0000,-10.9030,0.4780,0.5306
530.0000,-10.8664,0.4747,0.5234
540.0000,-10.7515,0.4579,0.4590
550.0000,-10.6199,0.4601,0.4800
560.0000,-10.6035,0.4043,0.4927
570.0000,-10.5932,0.3315,0.5029
