time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.4827,-0.0382,-0.0200
20.0000,-1.4641,-0.0236,0.0414
30.0000,-1.3057,-0.0123,0.0449
40.0000,-1.1187,0.0253,0.0438
50.0000,-0.9475,0.0663,0.0411
60.0000,-0.6755,0.0483,0.0385
70.0000,-0.3945,0.0231,0.0347
80.0000,-0.2131,0.0688,-0.0051
90.0000,-0.0331,0.2049,0.0503
100.0000,0.1756,0.4296,0.2265
110.0000,0.4886,0.5709,0.5059
120.0000,0.6948,0.5233,0.5483
130.0000,0.8861,0.5135,0.4440
140.0000,0.9402,0.4795,0.3661
150.0000,0.9761,0.4589,0.2590
160.0000,1.0625,0.4895,0.1416
170.0000,1.2159,0.6529,0.1539
180.0000,1.5661,0.8008,0.2362
190.0000,1.5894,0.7327,0.2793
200.0000,1.5772,0.7549,0.3098
210.0000,1.5776,0.7939,0.3009
220.0000,1.5891,0.7317,0.2842
230.0000,1.5849,0.7121,0.2730
240.0000,1.6773,0.5541,0.1495
250.0000,1.6939,0.4491,0.1122
260.0000,1.7278,0.3326,-0.0012
270.0000,1.7405,0.2435,-0.0016
280.0000,1.7202,0.2018,-0.0530
290.0000,1.7513,0.0959,-0.1157
300.0000,1.7135,0.0783,-0.1050
310.0000,1.7485,0.0015,-0.1837
320.0000,1.7040,-0.1307,-0.2121
330.0000,1.7058,-0.2601,-0.2078
340.0000,1.7325,-0.2393,-0.1783
350.0000,1.7241,-0.2035,-0.2439
360.0000,1.7247,-0.2284,-0.2226
370.0000,1.7271,-0.2302,-0.2358
380.0000,1.6820,-0.3094,-0.1615
390.0000,1.6021,-0.2977,0.0396
400.0000,1.4957,-0.2726,0.1762
410.0000,1.4327,-0.3195,0.4139
420.0000,1.3382,-0.2217,0.5188
430.0000,1.2783,-0.0192,0.6597
440.0000,1.1966,0.1699,0.8527
450.0000,1.1933,0.3310,1.0604
460.0000,1.1606,0.3835,1.2651
470.0000,1.0513,0.4575,1.3335
480.0000,0.9269,0.4603,1.4322
490.0000,0.8302,0.5063,1.4665
500.0000,0.8095,0.5839,1.4604
510.0000,0.7469,0.6399,1.4654
520.0000,0.8032,0.6882,1.4038
530.0000,0.8362,0.8324,1.2990
540.0000,0.8056,0.9163,1.2671
550.0000,0.7710,0.9945,1.2428
560.0000,0.7711,1.0190,1.2255
570.0000,0.7544,1.0620,1.1855
580.0000,0.7656,1.1263,1.1140
590.0000,0.8425,1.1195,1.0475
600.0000,0.9144,1.0827,1.0342
610.0000,0.9714,1.0692,0.9740
620.0000,1.0960,0.9960,0.9309
630.0000,1.2314,0.8669,0.9006
640.0000,1.2976,0.7026,0.9227
650.0000,1.3951,0.5909,0.8687
660.0000,1.5013,0.4859,0.7620
670.0000,1.5375,0.4276,0.7411
680.0000,1.5487,0.3300,0.7729
690.0000,1.5126,0.2869,0.8414
700.0000,1.5362,0.2667,0.8262
710.0000,1.5533,0.2448,0.7776
720.0000,1.5944,0.3189,0.6895
730.0000,1.6360,0.3223,0.5707
740.0000,1.6891,0.2936,0.4245
750.0000,1.6965,0.3373,0.3594
760.0000,1.6633,0.4151,0.2837
770.0000,1.6105,0.6009,0.1967
780.0000,1.5524,0.8053,0.0917
790.0000,1.4824,0.9189,0.1561
800.0000,1.4635,0.9472,0.2221
810.0000,1.4185,1.0019,0.2733
820.0000,1.3734,1.0279,0.4181
830.0000,1.2942,1.0639,0.5350
840.0000,1.2413,1.0573,0.6472
850.0000,1.2254,1.0618,0.6745
860.0000,1.1396,1.0972,0.7990
870.0000,1.0057,1.1065,0.9519
880.0000,0.8970,1.1235,1.0387
890.0000,0.8485,1.0681,1.1317
900.0000,0.8237,1.0434,1.1684
910.0000,0.7447,1.0161,1.2528
920.0000,0.6394,1.0075,1.3200
930.0000,0.5475,1.0114,1.3581
940.0000,0.6066,1.0151,1.3025
950.0000,0.6737,1.0195,1.2711
960.0000,0.7298,1.0154,1.2369
