time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.0494,0.1093,0.0007
20.0000,-12.0221,0.0063,0.0232
30.0000,-11.9241,-0.0890,0.0727
40.0000,-11.7357,-0.2034,0.0761
50.0000,-11.5308,-0.2437,0.0885
60.0000,-11.3082,-0.2445,0.0828
70.0000,-10.9953,-0.2541,-0.0233
80.0000,-10.8104,-0.2539,-0.0049
90.0000,-10.7464,-0.1928,-0.0443
100.0000,-10.8077,-0.1869,-0.0217
110.0000,-10.7845,-0.1653,-0.0477
120.0000,-10.7790,-0.1604,-0.0134
130.0000,-10.7834,-0.1546,-0.0095
140.0000,-10.7519,-0.1505,-0.0576
150.0000,-10.6899,-0.0696,-0.0006
160.0000,-10.6358,-0.1552,0.0685
170.0000,-10.4510,-0.2324,0.0899
180.0000,-10.2530,-0.2572,0.0272
190.0000,-10.0607,-0.2433,0.0481
200.0000,-9.7955,-0.2484,0.0569
210.0000,-9.5293,-0.2001,0.0701
220.0000,-9.2767,-0.2477,0.0045
230.0000,-9.1947,-0.2556,0.0232
240.0000,-9.2656,-0.2341,0.0213
250.0000,-9.2295,-0.2419,-0.0438
260.0000,-9.1709,-0.1603,0.0254
270.0000,-9.1736,-0.1299,0.1229
280.0000,-9.1247,-0.1512,0.1384
290.0000,-9.1526,-0.0622,0.1184
300.0000,-9.1417,-0.0524,0.1671
310.0000,-9.1079,-0.0451,0.1792
320.0000,-9.1699,-0.0249,0.1945
330.0000,-9.1743,-0.0580,0.1827
340.0000,-9.1587,-0.0665,0.2035
350.0000,-9.1714,-0.0281,0.2028
360.0000,-9.1357,-0.0142,0.2424
370.0000,-9.1324,-0.0152,0.2504
380.0000,-9.1617,-0.0245,0.2186
390.0000,-9.1030,-0.0649,0.1841
400.0000,-9.1892,-0.1190,0.1764
410.0000,-9.1557,-0.1611,0.1300
420.0000,-9.1887,-0.2051,0.1269
430.0000,-9.1357,-0.2341,0.0952
440.0000,-9.1581,-0.1953,0.1083
450.0000,-9.1000,-0.2068,0.1067
460.0000,-9.1483,-0.2207,0.0512
470.0000,-9.1796,-0.2237,0.0916
480.0000,-9.2574,-0.2322,0.0157
490.0000,-9.2635,-0.2246,-0.0231
500.0000,-9.2094,-0.2254,0.0352
510.0000,-9.2314,-0.2337,0.0255
520.0000,-9.2489,-0.2304,-0.0181
530.0000,-9.1957,-0.2026,-0.1060
540.0000,-9.1534,-0.2037,-0.1093
550.0000,-9.1590,-0.1932,-0.0359
560.0000,-9.1866,-0.1670,-0.0887
570.0000,-9.2344,-0.2209,-0.0866
580.0000,-9.2363,-0.2392,-0.0625
590.0000,-9.1876,-0.1706,-0.0509
600.0000,-9.2563,-0.1559,-0.0764
