Run,Time to reach center
1.0,4020.0
2.0,450.0
3.0,4020.0
4.0,2930.0
5.0,
6.0,4950.0
7.0,1540.0
8.0,7170.0
9.0,3010.0
10.0,4490.0
11.0,2110.0
12.0,3310.0
13.0,2980.0
14.0,
15.0,700.0
16.0,
17.0,3310.0
18.0,880.0
19.0,
20.0,1850.0
21.0,3130.0
22.0,2480.0
23.0,1180.0
24.0,820.0
25.0,
26.0,1070.0
27.0,2430.0
28.0,3200.0
29.0,4990.0
30.0,1670.0
31.0,2370.0
32.0,1350.0
33.0,
34.0,1480.0
35.0,2950.0
36.0,
37.0,
38.0,3050.0
39.0,
40.0,2020.0
41.0,1650.0
42.0,
43.0,1470.0
44.0,8670.0
45.0,2080.0
46.0,
47.0,7840.0
48.0,
49.0,1710.0
50.0,2210.0
51.0,690.0
52.0,4040.0
53.0,2950.0
54.0,
55.0,3540.0
56.0,
57.0,2840.0
58.0,4160.0
59.0,1970.0
60.0,3060.0
61.0,
62.0,3860.0
63.0,2990.0
64.0,
65.0,2930.0
66.0,
67.0,2280.0
68.0,
69.0,1960.0
70.0,2750.0
71.0,3710.0
72.0,2790.0
73.0,
74.0,560.0
75.0,1920.0
76.0,1810.0
77.0,1330.0
78.0,
79.0,3130.0
80.0,1680.0
81.0,800.0
82.0,4400.0
83.0,1610.0
84.0,
85.0,1310.0
86.0,2810.0
87.0,4090.0
88.0,5250.0
89.0,
90.0,
91.0,3600.0
92.0,2950.0
93.0,2270.0
94.0,4380.0
95.0,1190.0
96.0,1940.0
97.0,2890.0
98.0,2730.0
99.0,2280.0
100.0,5640.0
