Run,Mean,Variance,Standard deviation
1.0,2.129653865835223,0.908851405721067,0.9533369843455498
2.0,1.9337238459721617,1.232874491397136,1.1103488151914855
3.0,5.677783812181517,4.009111290125506,2.0022765268877087
4.0,2.6904567964211137,0.2490436695026223,0.4990427531811501
5.0,,,
6.0,1.0753885527022589,0.3153763967514236,0.5615838287837566
7.0,1.7102268915324468,0.7418756654096526,0.8613220451199729
8.0,2.28228745454191,0.28261594103626014,0.5316163476006547
9.0,1.8946381218415589,1.6488027854480238,1.2840571581701588
10.0,1.3389921634484572,0.8060980670864517,0.8978296425750554
11.0,1.2270207239721171,1.5778609644067096,1.2561293581501507
12.0,2.2114466218259494,2.3845903091128413,1.5442118731290864
13.0,2.204346088615443,2.4447410450220493,1.5635667702474523
14.0,,,
15.0,4.426269016072857,4.194763969531519,2.0481122941702976
16.0,,,
17.0,3.14488732287929,2.9246904400597997,1.7101726345781
18.0,6.2593389345287695,6.766368056480689,2.601224337976386
19.0,,,
20.0,2.038919646034248,1.827988908398259,1.3520314006702134
21.0,2.933216988654526,1.1014368462439819,1.049493614198763
22.0,1.9680927472413965,0.5578001776279418,0.7468602129099807
23.0,1.489806387882007,1.1689458964854818,1.081178013319491
24.0,2.525229432623388,3.2001239217944915,1.7888890188590492
25.0,,,
26.0,1.0686841054366805,0.3785760910615613,0.6152853736775816
27.0,1.1905398662743945,0.37455665099067775,0.612010335689421
28.0,1.6060923894177057,0.8193071685650248,0.905155880810054
29.0,2.4004177731410867,2.4146260918261984,1.5539067191521498
30.0,2.4503699676890944,1.0436728036816771,1.0216030558302365
31.0,1.4259108790945232,0.5362994614310891,0.7323246967234474
32.0,5.540496991486216,3.62919755620947,1.905045289805329
33.0,,,
34.0,1.4833059645393942,0.9495280154157749,0.9744372814172162
35.0,2.94702492022468,2.1946608286011227,1.4814387697779219
36.0,,,
37.0,,,
38.0,2.2269766240389854,1.5708916546248635,1.2533521670403986
39.0,,,
40.0,1.2032178569688636,0.4688993559387807,0.6847622623500661
41.0,3.3293577771971137,1.9853246110910086,1.4090154758167166
42.0,,,
43.0,1.597594053059828,1.200096894492593,1.0954893402003476
44.0,1.910092162381722,0.06167271503144672,0.2483399183205284
45.0,2.686385084309826,1.2862990877298695,1.1341512631610784
46.0,,,
47.0,1.0732917706517806,0.6378580088973193,0.7986601335344836
48.0,,,
49.0,1.2462116226178626,1.2824705257480447,1.1324621520157063
50.0,1.2379729639184687,0.24083786201868662,0.4907523428560343
51.0,2.4290170952278833,3.2743054732541594,1.8095042064759506
52.0,2.638192682046039,1.7209298122578824,1.3118421445653752
53.0,5.090221909894525,7.243224584597392,2.691323946424397
54.0,,,
55.0,2.553503979245693,5.973024918305477,2.443977274506757
56.0,,,
57.0,2.7960676180432102,4.086201372915258,2.0214354733493862
58.0,1.645538257663751,1.0395614086886589,1.0195888429600724
59.0,1.7120484397166102,3.021092373316762,1.7381289863864424
60.0,1.028263276913471,0.623301414292347,0.7894944042185144
61.0,,,
62.0,0.9558198869557059,0.4585890723407584,0.6771920498209931
63.0,1.0662735903623615,0.5914140014259914,0.7690344604931507
64.0,,,
65.0,2.092380252901502,2.7629802147349523,1.662221469821321
66.0,,,
67.0,5.369581732282493,0.9048419541717211,0.9512318088519334
68.0,,,
69.0,2.987711145729403,0.8732060638970658,0.9344549555206317
70.0,3.14302404849009,2.217940762274304,1.489275247318072
71.0,1.2528255604078669,0.4780703470189035,0.6914263135135251
72.0,3.208007774613883,0.7574118471487108,0.8702941153131571
73.0,,,
74.0,3.4140535060177304,1.713187285941533,1.3088878049479769
75.0,1.6110425569178548,0.7234787795739099,0.8505755578277041
76.0,0.6980716282343054,0.20563393807652808,0.45346878401553514
77.0,1.7288340373706366,0.5611282993277021,0.7490849747042736
78.0,,,
79.0,1.6715049562491466,2.0456303786324974,1.4302553543449845
80.0,3.6629050886232006,1.9910964637573667,1.4110621757234394
81.0,1.8904807579174736,1.4133254347233117,1.1888336446800754
82.0,2.0840735475696275,3.2868146735049297,1.8129574384151796
83.0,2.4220260865938785,4.48203564492631,2.117081870152005
84.0,,,
85.0,9.616546649523343,12.282822209736185,3.5046857504969235
86.0,2.441758336239787,1.775998797387378,1.332666048711146
87.0,2.734387998885361,1.4449525630354496,1.2020617966791265
88.0,2.0029638761470583,1.0885729506637827,1.0433469943713753
89.0,,,
90.0,,,
91.0,1.9681094453929395,0.12742088450408068,0.3569606203828101
92.0,3.344244434091972,3.726638407206582,1.930450312027373
93.0,1.9348182079105678,0.3772498061062838,0.6142066477223148
94.0,1.1267868747703085,1.63290812973089,1.2778529374426817
95.0,1.954079365742186,2.086959296945834,1.4446311975538373
96.0,7.292325019137277,8.955512489677533,2.992576229551644
97.0,1.138777559336617,1.1170407031781353,1.056901463324815
98.0,3.194542342184995,3.3918139470604536,1.8416877984773787
99.0,1.7910132935396303,0.6211391855589758,0.7881238389739114
100.0,3.370850037299069,0.619785925091309,0.7872648379619841
