time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.5077,-0.0114,0.0306
20.0000,-1.4673,-0.0884,0.0582
30.0000,-1.4536,-0.1119,0.0171
40.0000,-1.3306,-0.1628,0.0269
50.0000,-1.2780,-0.2135,0.1323
60.0000,-1.1295,-0.1880,0.2420
70.0000,-0.9507,-0.1479,0.2713
80.0000,-0.8279,-0.0386,0.3649
90.0000,-0.6575,0.0890,0.4702
100.0000,-0.6315,0.3872,0.5742
110.0000,-0.5754,0.4641,0.6582
120.0000,-0.6181,0.6579,0.7067
130.0000,-0.6503,0.8351,0.7747
140.0000,-0.6815,1.0224,0.8503
150.0000,-0.7439,1.2236,0.8653
160.0000,-0.7277,1.3024,0.9319
170.0000,-0.8696,1.2973,0.8047
180.0000,-0.9570,1.2504,0.7758
190.0000,-0.8301,1.3310,0.7285
200.0000,-0.6883,1.3786,0.7301
210.0000,-0.6391,1.4182,0.6116
220.0000,-0.5179,1.2724,0.5298
230.0000,-0.3504,1.3201,0.6403
240.0000,-0.2338,1.3280,0.7220
250.0000,-0.1382,1.4499,0.7660
260.0000,-0.0045,1.5004,0.9253
270.0000,0.1261,1.5205,0.8557
280.0000,0.2234,1.4668,0.9381
290.0000,0.1968,1.3837,0.8987
300.0000,0.1472,1.3007,0.8123
310.0000,0.0666,1.1770,0.7077
320.0000,0.0859,1.0622,0.6836
330.0000,0.2428,1.1577,0.7119
340.0000,0.4375,1.3074,0.7766
350.0000,0.5452,1.4359,0.8480
360.0000,0.6278,1.4417,0.7769
370.0000,0.6388,1.4539,0.7492
380.0000,0.6453,1.3901,0.8029
390.0000,0.6243,1.3040,0.6808
400.0000,0.5387,1.2695,0.6054
410.0000,0.4388,1.3192,0.4978
420.0000,0.3340,1.4515,0.5577
430.0000,0.4339,1.4337,0.7869
440.0000,0.5043,1.3004,1.0207
450.0000,0.4363,1.1721,1.2357
460.0000,0.4053,1.0157,1.3737
470.0000,0.3981,0.9750,1.3838
480.0000,0.3888,0.8338,1.5034
490.0000,0.3165,0.7608,1.5593
500.0000,0.2766,0.8546,1.5135
510.0000,0.1826,0.9448,1.4864
520.0000,0.1344,0.9204,1.5047
530.0000,0.1882,0.9174,1.4998
540.0000,0.1350,0.9883,1.4466
550.0000,0.1610,1.0367,1.4126
560.0000,0.2486,1.0825,1.3808
570.0000,0.2253,1.0866,1.3446
580.0000,0.2201,0.9960,1.3771
590.0000,0.1752,0.7874,1.3314
600.0000,0.1306,0.6452,1.1625
610.0000,0.1569,0.4688,1.0302
620.0000,0.2149,0.2016,0.9373
630.0000,0.3623,0.0559,0.8278
640.0000,0.4878,-0.0640,0.7414
650.0000,0.6473,-0.1909,0.5513
660.0000,0.5587,-0.2694,0.5223
670.0000,0.5517,-0.2984,0.7068
680.0000,0.7426,-0.2885,0.9732
