Config,mean,var,std
14_1,4.371311250104048,0.38259053961378675,0.6185390364510447
14_16,5.031958556613017,0.04856722242903367,0.22037972327107064
14_2,4.478779299663415,0.26299112260647933,0.5128266009154355
14_4,4.772361952455155,0.1474357863584263,0.3839736792521413
14_8,4.905877731696834,0.10754651724112421,0.3279428566703721
28_1,10.843420398264323,1.5011101141051402,1.225197989757223
28_16,11.691335462120538,0.2540854504627961,0.5040688945598569
28_2,11.129407013409514,0.879641375071145,0.9378919847568509
28_4,11.14344693690079,0.9256427730763188,0.9621033068627916
28_8,11.38915624534575,0.5484749690018716,0.7405909593033604
7_1,1.5643363956261698,0.037125706619323295,0.19268032234590873
7_16,1.7586931885358184,0.0011261739977174174,0.03355851602376687
7_2,1.6035233522960224,0.03834007254132751,0.19580621170261048
7_4,1.7148488119888732,0.009492481320351572,0.0974293658008281
7_8,1.7320572842672683,0.00505966831669467,0.07113134552849869
