Config,mean,var,std
14_1,1.5095365303991344,1.1808896352177272,1.0796575766735916
14_10,0.8968626333610203,0.3628026754962466,0.5986411900897465
14_12,0.8199527771117,0.2881475944674355,0.5335655697345286
14_14,0.7883085505831824,0.26257672592066345,0.5092944672355869
14_16,0.7444175535307598,0.22593316698912946,0.4721488996429406
14_2,1.407363283516588,0.9393885837101802,0.9620395738488574
14_4,1.1867785003968279,0.6500157152373349,0.8017991701206185
14_6,1.0762614073564714,0.5263624544096358,0.7216991973696792
14_8,0.9809219913374096,0.420050699535769,0.6451980386829012
28_1,2.132840109418183,1.9719681570681575,1.3038532094103408
28_10,1.2708749079079902,0.7248035095642743,0.8342834613085947
28_12,1.1959921350335037,0.6482803199024352,0.7875271134564096
28_14,1.1600145604928345,0.6166748417609269,0.7647678549970695
28_16,1.1336201776926873,0.540339778329573,0.7197046117184989
28_2,1.8016719645211743,1.4890964182268993,1.1632085477420469
28_4,1.7367959411055758,1.350623301057932,1.1288145211496765
28_6,1.4596900591355544,1.0094414041080264,0.9741028234301322
28_8,1.431043242980527,0.9027113732989698,0.9243484109555637
7_1,0.828949908537493,0.2208258597896402,0.4695511269060673
7_10,0.5233662529142218,0.06476974554782983,0.25372238840275624
7_12,0.5056825489093342,0.0548519506817238,0.2334240593496913
7_14,0.48217927490504203,0.04591557267246221,0.21329930038179348
7_16,0.4680073309882404,0.03906727123454012,0.19688316593424143
7_2,0.7906459367915523,0.19671214942004056,0.44318255290250724
7_4,0.6779555264502676,0.13944231463003573,0.37286677977287913
7_6,0.6108509348145135,0.1060622598674528,0.32469349171295186
7_8,0.560962886635286,0.08249303356399144,0.28641122691787524
