time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.5905,0.1495,0.1683
20.0000,-1.5376,0.1589,0.1595
30.0000,-1.5028,0.0746,0.1723
40.0000,-1.4770,0.0993,0.2294
50.0000,-1.4999,0.0742,0.1841
60.0000,-1.4452,-0.1633,0.1597
70.0000,-1.3515,-0.1947,0.1508
80.0000,-1.2117,-0.2023,0.1147
90.0000,-1.3293,-0.2072,0.0345
100.0000,-1.3575,-0.2375,-0.0482
110.0000,-1.4503,-0.2140,-0.0885
120.0000,-1.6423,-0.1617,-0.1354
130.0000,-1.7062,-0.1278,-0.0890
140.0000,-1.6891,-0.1525,-0.0805
150.0000,-1.7204,-0.0739,-0.0988
160.0000,-1.7030,-0.0063,-0.1364
170.0000,-1.6698,0.0337,-0.1292
180.0000,-1.6483,0.0084,-0.2095
190.0000,-1.5910,0.0107,-0.1839
200.0000,-1.5624,-0.0500,-0.1722
210.0000,-1.5392,0.0056,-0.2384
220.0000,-1.5015,-0.0044,-0.2573
230.0000,-1.3537,-0.1193,-0.2404
240.0000,-1.1405,-0.2021,-0.1480
250.0000,-1.1660,-0.1672,-0.1669
260.0000,-1.1284,-0.1183,-0.1221
270.0000,-1.1386,-0.1026,-0.1551
280.0000,-1.1691,-0.0198,-0.1812
290.0000,-1.1811,0.0274,-0.2505
300.0000,-1.0950,-0.0437,-0.1978
310.0000,-1.1287,-0.0146,-0.2234
320.0000,-1.1208,-0.0380,-0.1778
330.0000,-1.1956,-0.0667,-0.2300
340.0000,-1.2143,0.0004,-0.2251
350.0000,-1.1254,-0.0130,-0.2616
360.0000,-0.8879,-0.1337,-0.2194
370.0000,-0.8323,-0.1216,-0.2148
380.0000,-0.8211,-0.1827,-0.1789
390.0000,-0.8273,-0.0921,-0.1997
400.0000,-0.7726,-0.1593,-0.1931
410.0000,-0.7174,-0.1151,-0.1703
420.0000,-0.8125,-0.1402,-0.1649
430.0000,-0.8712,-0.1158,-0.2267
440.0000,-0.9525,-0.1429,-0.1999
450.0000,-1.2075,-0.1408,-0.1877
460.0000,-1.3143,-0.1753,-0.1881
470.0000,-1.4432,-0.1101,-0.2282
480.0000,-1.6022,-0.1149,-0.2103
490.0000,-1.5145,-0.1598,-0.2029
500.0000,-1.3759,-0.1327,-0.2228
510.0000,-1.3029,-0.1504,-0.1569
520.0000,-1.3109,-0.1822,-0.1174
530.0000,-1.2922,-0.1294,-0.0451
540.0000,-1.2539,-0.1498,-0.0513
550.0000,-1.2780,-0.2194,0.0000
560.0000,-1.2065,-0.2303,-0.0051
570.0000,-1.2189,-0.1428,-0.0448
580.0000,-1.2040,-0.1222,-0.0737
590.0000,-1.1613,-0.1590,-0.0679
600.0000,-1.1707,-0.1917,-0.0544
610.0000,-1.2075,-0.1501,0.0054
620.0000,-1.1889,-0.1967,-0.1053
630.0000,-1.1382,-0.2092,-0.1569
640.0000,-1.2666,-0.1938,-0.1687
650.0000,-1.3954,-0.1790,-0.1712
660.0000,-1.5288,-0.1521,-0.1701
670.0000,-1.5255,-0.1823,-0.1330
680.0000,-1.6238,-0.1619,-0.1399
690.0000,-1.5957,-0.1416,-0.1867
700.0000,-1.5811,-0.1094,-0.1818
710.0000,-1.5030,-0.1437,-0.1917
720.0000,-1.5004,-0.0592,-0.2503
730.0000,-1.4937,-0.0617,-0.2107
740.0000,-1.5737,-0.0840,-0.2161
