time,x,y,z
0.0000,-5.0000,0.0000,0.0000
10.0000,-3.8810,-0.1936,-0.1654
20.0000,-3.5783,-0.1551,-0.2059
30.0000,-3.2279,-0.1659,-0.1941
40.0000,-2.8612,-0.1786,-0.1357
50.0000,-2.5137,-0.2319,-0.1072
60.0000,-2.2289,-0.2341,-0.0267
70.0000,-2.0084,-0.2464,0.0525
80.0000,-1.7789,-0.1779,0.0116
90.0000,-1.4767,-0.2085,0.0274
100.0000,-1.2475,-0.1674,0.0278
110.0000,-1.0069,-0.1800,0.0995
120.0000,-0.7918,-0.2264,0.0961
130.0000,-0.6293,-0.1862,0.1617
140.0000,-0.4881,-0.1576,0.2114
150.0000,-0.4021,-0.1143,0.2114
160.0000,-0.2957,-0.0915,0.0947
170.0000,-0.1317,-0.0984,0.0170
180.0000,-0.0329,-0.1091,-0.0384
190.0000,-0.0929,-0.0623,-0.1241
200.0000,-0.1338,0.0469,-0.0095
210.0000,-0.1599,0.0792,0.1591
220.0000,-0.2171,0.1179,0.2097
230.0000,-0.2880,0.1431,0.1915
240.0000,-0.2350,0.1219,0.1790
250.0000,-0.2645,0.1732,0.1805
260.0000,-0.2278,0.1431,0.1163
270.0000,-0.0799,0.1630,-0.0329
280.0000,0.0462,0.1082,-0.1746
290.0000,0.0931,0.0789,-0.2098
300.0000,0.1504,0.0873,-0.1782
310.0000,0.0867,0.0577,-0.1825
320.0000,0.0477,0.0221,-0.2172
330.0000,0.0906,-0.0096,-0.0852
340.0000,-0.0537,-0.1053,-0.0812
350.0000,-0.0897,-0.2105,-0.1129
360.0000,-0.0560,-0.1873,-0.1400
370.0000,-0.0077,-0.0521,-0.2521
380.0000,-0.0160,0.0083,-0.2581
390.0000,-0.0103,0.0469,-0.2206
400.0000,-0.0721,0.0206,-0.2563
410.0000,-0.0654,0.0499,-0.2058
420.0000,-0.0968,0.1035,-0.1611
430.0000,-0.0926,0.0640,-0.0753
440.0000,0.0290,-0.0308,-0.0594
450.0000,0.2003,-0.0783,-0.1225
460.0000,0.2716,-0.1652,-0.1896
470.0000,0.3776,-0.1133,-0.2132
480.0000,0.5034,-0.0776,-0.2251
490.0000,0.6062,-0.0491,-0.2177
500.0000,0.7726,0.0676,-0.1507
510.0000,0.8155,0.0995,-0.1574
520.0000,1.0197,0.0671,-0.1639
530.0000,1.2015,0.0767,-0.2386
540.0000,1.3876,0.0125,-0.2497
550.0000,1.5480,0.1027,-0.2310
560.0000,1.7559,0.1677,-0.1903
570.0000,1.9282,0.1594,-0.1956
580.0000,2.1684,0.1842,-0.1682
590.0000,2.3493,0.2071,-0.1402
600.0000,2.4799,0.2026,-0.1381
610.0000,2.5099,0.1872,-0.1434
620.0000,2.4986,0.1044,0.0216
630.0000,2.4504,0.1059,0.1330
640.0000,2.3647,0.0948,0.2399
650.0000,2.3305,0.1210,0.2250
660.0000,2.3968,0.1861,0.1688
670.0000,2.5732,0.2509,0.0135
680.0000,2.7952,0.2423,-0.0317
690.0000,2.8972,0.2152,0.0010
700.0000,2.9450,0.2119,-0.0444
710.0000,2.9546,0.1842,0.0609
720.0000,2.9526,0.1591,0.1383
730.0000,3.0275,0.1282,0.2023
740.0000,3.0652,0.0260,0.2486
750.0000,2.9951,-0.0260,0.2448
760.0000,2.9595,0.0228,0.1535
770.0000,2.9068,0.0370,0.0767
780.0000,2.8444,0.0374,0.0313
790.0000,2.8141,0.1028,-0.0411
800.0000,2.6998,0.0397,0.0048
810.0000,2.6181,-0.0527,0.0097
820.0000,2.5533,-0.0647,0.0865
830.0000,2.5531,-0.0619,0.1507
840.0000,2.4452,-0.0880,0.2444
850.0000,2.3373,-0.0792,0.2407
860.0000,2.1361,-0.0147,0.2614
870.0000,2.0307,0.0501,0.2273
880.0000,1.9934,0.0865,0.1589
890.0000,1.9949,0.0564,0.1593
900.0000,1.9307,0.0102,0.1981
910.0000,1.7912,-0.0160,0.2469
920.0000,1.6485,0.0495,0.0942
930.0000,1.6154,0.0664,-0.0271
940.0000,1.5694,0.0399,-0.0590
950.0000,1.5172,-0.0843,-0.0583
960.0000,1.4589,-0.2464,0.0170
970.0000,1.6182,-0.2512,0.0210
980.0000,1.7079,-0.1754,-0.1200
990.0000,1.8102,-0.2058,-0.1384
1000.0000,1.8676,-0.1508,-0.1854
1010.0000,1.9884,0.0093,-0.2414
1020.0000,2.1248,0.0597,-0.2259
1030.0000,2.2450,0.0503,-0.2121
1040.0000,2.3055,0.1079,-0.1844
1050.0000,2.4468,0.1228,-0.2292
1060.0000,2.5861,0.0206,-0.2470
1070.0000,2.7168,-0.0090,-0.1529
1080.0000,2.8244,-0.0281,-0.1302
1090.0000,2.8698,0.0594,-0.0805
1100.0000,2.8850,0.1225,-0.1382
1110.0000,2.8199,0.0421,-0.0929
1120.0000,2.8982,0.1153,-0.0602
1130.0000,3.0857,0.2187,-0.1192
1140.0000,3.2596,0.1560,-0.0427
1150.0000,3.2406,0.0978,0.0543
1160.0000,3.1903,0.0931,0.1530
1170.0000,3.1360,0.0993,0.2346
1180.0000,3.1223,0.1265,0.2192
1190.0000,3.0743,0.1714,0.1904
1200.0000,3.0227,0.1467,0.1892
1210.0000,2.9743,0.0724,0.2353
1220.0000,2.9168,0.0140,0.1900
1230.0000,2.9394,0.0350,0.0972
1240.0000,2.9685,0.0597,0.0483
1250.0000,3.0033,0.0967,-0.0462
1260.0000,3.0127,0.1214,-0.1432
1270.0000,2.9925,0.1518,-0.1871
1280.0000,3.0251,0.1406,-0.1845
1290.0000,3.1052,0.1110,-0.1655
1300.0000,3.1428,0.0591,-0.1034
1310.0000,3.2060,0.0178,-0.0313
1320.0000,3.3794,0.0133,-0.0414
1330.0000,3.4497,0.0945,-0.1236
1340.0000,3.5049,0.1785,-0.1851
1350.0000,3.5515,0.1353,-0.1785
1360.0000,3.6125,0.1049,-0.2301
1370.0000,3.5371,0.0489,-0.2405
1380.0000,3.4279,-0.0119,-0.1947
1390.0000,3.3395,-0.0051,-0.2190
1400.0000,3.2663,0.0838,-0.2167
1410.0000,3.1686,0.2274,-0.1074
1420.0000,3.1484,0.2519,0.0105
1430.0000,3.0247,0.1723,0.1676
1440.0000,2.8956,0.1276,0.1917
1450.0000,2.7556,0.0854,0.2410
1460.0000,2.5659,0.0428,0.2373
1470.0000,2.3910,-0.0016,0.2390
1480.0000,2.2922,-0.0489,0.2094
1490.0000,2.1989,-0.1324,0.1131
1500.0000,2.1146,-0.2275,0.0200
1510.0000,2.1202,-0.1845,-0.0589
1520.0000,2.1893,-0.1922,-0.0649
1530.0000,2.1628,-0.1676,0.0468
1540.0000,2.1381,-0.1374,0.1281
