time,x,y,z
0.0000,-5.0000,0.0000,0.0000
10.0000,-4.9566,-0.0243,-0.0211
20.0000,-4.9450,0.0599,-0.0018
30.0000,-4.6219,0.1519,0.0901
40.0000,-4.2399,0.2278,0.1159
50.0000,-3.8386,0.2532,0.0990
60.0000,-3.5626,0.2775,0.0438
70.0000,-3.3275,0.2900,-0.0438
80.0000,-3.0834,0.2798,-0.0191
90.0000,-2.9636,0.1968,0.0290
100.0000,-2.7723,0.0292,0.0926
110.0000,-2.6007,-0.0932,0.2098
120.0000,-2.3761,-0.0301,0.2265
130.0000,-2.1727,-0.0695,0.2398
140.0000,-1.9950,-0.0182,0.2447
150.0000,-1.7786,0.0718,0.1347
160.0000,-1.6168,0.1857,0.1015
170.0000,-1.4589,0.2446,0.0957
180.0000,-1.2583,0.2331,0.1085
190.0000,-1.0674,0.1755,0.1618
200.0000,-0.9214,0.1886,0.1865
210.0000,-0.8228,0.2173,0.1503
220.0000,-0.7761,0.1491,0.2175
230.0000,-0.6856,0.1144,0.2286
240.0000,-0.4937,0.0641,0.2410
250.0000,-0.3013,-0.0251,0.2502
260.0000,-0.1281,-0.0615,0.2432
270.0000,0.0671,-0.0560,0.1957
280.0000,0.3216,-0.0444,0.1855
290.0000,0.4139,-0.0330,0.1860
300.0000,0.5045,-0.0288,0.1243
310.0000,0.5417,-0.0310,0.0882
320.0000,0.4977,-0.0426,0.1363
330.0000,0.3991,-0.0112,0.2582
340.0000,0.2975,-0.0250,0.2640
350.0000,0.2641,-0.0474,0.2724
360.0000,0.2143,-0.0574,0.2610
370.0000,0.1519,-0.0129,0.2615
380.0000,0.0204,0.0123,0.2612
390.0000,-0.1224,-0.0242,0.2500
400.0000,-0.2658,-0.0298,0.2510
410.0000,-0.4315,-0.0900,0.2003
420.0000,-0.5620,-0.1139,0.2307
430.0000,-0.7135,-0.1089,0.2304
440.0000,-0.8095,-0.1477,0.2041
450.0000,-0.8494,-0.1291,0.2134
460.0000,-0.8697,-0.1209,0.2232
470.0000,-0.8719,-0.1095,0.2028
480.0000,-0.8797,-0.0890,0.2346
490.0000,-0.9441,-0.0852,0.2408
500.0000,-0.9113,-0.0345,0.2498
510.0000,-0.9377,0.0083,0.2467
520.0000,-1.0158,0.0466,0.2511
530.0000,-1.1510,0.1120,0.2311
540.0000,-1.2925,0.1003,0.2319
550.0000,-1.4557,0.1083,0.1991
560.0000,-1.6539,0.1207,0.1916
570.0000,-1.8581,0.0714,0.1633
580.0000,-1.9855,0.0952,0.1493
590.0000,-1.9088,0.1253,0.1387
600.0000,-1.7956,0.1117,0.1695
610.0000,-1.6809,0.1645,0.1532
620.0000,-1.5519,0.1787,0.1535
630.0000,-1.4453,0.1822,0.1236
640.0000,-1.2693,0.1895,0.1294
650.0000,-1.1573,0.1173,0.1539
660.0000,-1.0495,0.0202,0.1846
670.0000,-0.9796,-0.0510,0.1952
680.0000,-0.9565,-0.0772,0.1750
690.0000,-0.8130,-0.0201,0.1829
700.0000,-0.5549,0.1342,0.1691
710.0000,-0.2953,0.1646,0.1730
720.0000,-0.0660,0.1803,0.1791
730.0000,0.0890,0.1613,0.1981
740.0000,0.1731,0.1903,0.1783
