Run,Mean,Variance,Standard deviation
1.0,1.2652779944467083,0.6858632488577507,0.8281686113695391
2.0,1.068303315107821,0.7449898197697349,0.8631279278124042
3.0,1.4865012280918541,0.8687352649188742,0.9320596895686855
4.0,1.3033701406297002,0.5589045519966859,0.7475991920786739
5.0,0.8417180796266917,0.4130928866196372,0.6427230248090053
6.0,1.1256259388573624,0.5216891427581157,0.7222805152834428
7.0,1.1176685568888998,0.5836574988412552,0.7639748024910606
8.0,1.2822584151503613,0.7038410311932612,0.8389523414314196
9.0,1.6247231855054032,1.2622686037745883,1.1235072780247524
10.0,1.4355002766464984,0.8463049672773899,0.9199483503313596
11.0,1.432242919501279,0.6960062142616572,0.8342698689642681
12.0,1.5507446134607081,1.2473783668153875,1.1168609433655505
13.0,1.6642208573487693,1.0268092687326837,1.0133159767479656
14.0,1.4779089231263616,0.8491397076947348,0.9214877686083168
15.0,1.1881043183217233,0.36849924008250223,0.6070413825123475
16.0,1.3976788547228194,0.6779610603360362,0.8233839082323847
17.0,1.1199003771141463,0.6421987318250044,0.8013730291349993
18.0,1.419879071304141,0.8505118543868504,0.9222319959678532
19.0,1.5484365293481137,0.7122624313626645,0.8439564155586854
20.0,1.7235742839732413,1.436925094575071,1.1987181047164803
21.0,0.9118019537376404,0.4581299133614795,0.6768529481072528
22.0,1.1165957772898107,0.5242754316185637,0.7240686649887313
23.0,1.687235893012497,1.7216499957137161,1.3121166090381282
24.0,1.22339753799483,0.4075840316508293,0.6384230820160165
25.0,1.1468391770695987,0.6826193318644337,0.8262078018661126
26.0,1.1578492271987646,0.40366289123483684,0.6353447026888922
27.0,1.3281428904354122,0.6751889396550509,0.8216988132248038
28.0,1.6845733143441595,1.5889512262992926,1.2605360868691116
29.0,1.1820021556493931,0.5014147504604212,0.7081064541863894
30.0,1.606550375089291,0.7737633868205067,0.879638213597219
31.0,1.3505959962594298,0.6996707553275585,0.8364632420659969
32.0,1.6425750151223522,0.5959450389910657,0.77197476577351
33.0,1.657728810989151,0.7255674317226081,0.8518024605051385
34.0,1.3117052305499695,0.7956411298297287,0.8919871803057086
35.0,1.5478534703462083,0.9795578164002738,0.9897261320184861
36.0,1.1602927752051462,0.3320147055727495,0.5762071724412579
37.0,1.2449121310712121,0.7300090617379266,0.8544056774963089
38.0,1.9837626119557812,1.1770397806999093,1.0849146421262408
39.0,1.3945317195945486,0.5497179881380707,0.7414296919722535
40.0,1.723460805012862,0.9433376645137855,0.9712557153055963
41.0,1.0868951136839329,0.4247845641622668,0.6517549878307544
42.0,2.2093976850804133,1.1769700116193447,1.0848824874701153
43.0,1.2189695366625006,0.8339105492486053,0.9131870286248077
44.0,1.7661303830613158,1.6571126946411558,1.2872888932330442
45.0,1.6145325032199929,1.133585740679753,1.0646998359536612
46.0,1.6305216491030943,1.0301130964135905,1.0149448735835807
47.0,1.4553497244992928,1.0761889429781457,1.037395268438287
48.0,1.4478815240069804,0.7325638732021342,0.8558994527408779
49.0,1.0815686508656654,0.9337581560955623,0.966311624733741
50.0,0.9025313023586173,0.29161368719053893,0.5400126731758607
51.0,0.9057215213257306,0.5113005360064092,0.7150528204310569
