Run,Time to reach center
1.0,680.0
2.0,630.0
3.0,2070.0
4.0,1330.0
5.0,1750.0
6.0,780.0
7.0,1060.0
8.0,860.0
9.0,660.0
10.0,1230.0
11.0,520.0
12.0,690.0
13.0,800.0
14.0,1050.0
15.0,1070.0
16.0,620.0
17.0,1470.0
18.0,1350.0
19.0,650.0
20.0,980.0
21.0,1060.0
22.0,1510.0
23.0,820.0
24.0,1060.0
25.0,890.0
26.0,740.0
27.0,1060.0
28.0,750.0
29.0,1300.0
30.0,780.0
31.0,820.0
32.0,780.0
33.0,830.0
34.0,1340.0
35.0,1400.0
36.0,890.0
37.0,840.0
38.0,970.0
39.0,980.0
40.0,940.0
41.0,620.0
42.0,670.0
43.0,1150.0
44.0,990.0
45.0,550.0
46.0,1240.0
47.0,710.0
48.0,490.0
49.0,800.0
50.0,990.0
51.0,970.0
52.0,750.0
53.0,400.0
54.0,1260.0
55.0,560.0
56.0,730.0
57.0,670.0
58.0,1070.0
59.0,1100.0
60.0,1250.0
61.0,920.0
62.0,600.0
63.0,480.0
64.0,1120.0
65.0,1640.0
66.0,710.0
67.0,1140.0
68.0,740.0
69.0,1030.0
70.0,900.0
71.0,1110.0
72.0,500.0
73.0,670.0
74.0,820.0
75.0,1150.0
76.0,790.0
77.0,1280.0
78.0,780.0
79.0,550.0
80.0,810.0
81.0,580.0
82.0,510.0
83.0,570.0
84.0,760.0
85.0,810.0
86.0,790.0
87.0,500.0
88.0,800.0
89.0,1380.0
90.0,1000.0
91.0,1240.0
92.0,620.0
93.0,1200.0
94.0,500.0
95.0,470.0
96.0,810.0
97.0,760.0
98.0,870.0
99.0,1060.0
100.0,720.0
