Run,Time to reach center
1.0,240.0
2.0,110.0
3.0,280.0
4.0,120.0
5.0,390.0
6.0,80.0
7.0,320.0
8.0,820.0
9.0,60.0
10.0,30.0
11.0,180.0
12.0,150.0
13.0,50.0
14.0,
15.0,330.0
16.0,200.0
17.0,100.0
18.0,
19.0,3620.0
20.0,60.0
21.0,60.0
22.0,170.0
23.0,8350.0
24.0,50.0
25.0,10.0
26.0,120.0
27.0,30.0
28.0,250.0
29.0,290.0
30.0,450.0
31.0,100.0
32.0,
33.0,1660.0
34.0,80.0
35.0,
36.0,80.0
37.0,
38.0,250.0
39.0,700.0
40.0,350.0
41.0,90.0
42.0,570.0
43.0,270.0
44.0,60.0
45.0,
46.0,100.0
47.0,220.0
48.0,
49.0,40.0
50.0,100.0
51.0,270.0
52.0,50.0
53.0,720.0
54.0,90.0
55.0,70.0
56.0,
57.0,
58.0,
59.0,30.0
60.0,110.0
61.0,100.0
62.0,190.0
63.0,810.0
64.0,340.0
65.0,170.0
66.0,1350.0
67.0,110.0
68.0,20.0
69.0,60.0
70.0,150.0
71.0,120.0
72.0,170.0
73.0,60.0
74.0,100.0
75.0,
76.0,270.0
77.0,30.0
78.0,370.0
79.0,
80.0,270.0
81.0,90.0
82.0,
83.0,20.0
84.0,100.0
85.0,170.0
86.0,110.0
87.0,510.0
88.0,240.0
89.0,
90.0,90.0
91.0,70.0
92.0,120.0
93.0,120.0
94.0,330.0
95.0,
96.0,90.0
97.0,
98.0,
99.0,50.0
100.0,100.0
