Run,Final distance to center
1.0,4.9696541791154845
2.0,4.300109573022529
3.0,4.155945584340585
4.0,4.573770629360419
5.0,5.05459678015962
6.0,5.258599091963562
7.0,4.450916717935756
8.0,5.2135380088765055
9.0,4.431370048867506
10.0,4.875116352457652
11.0,5.235494247919674
12.0,4.746817230524049
13.0,4.8390502714892305
14.0,5.213597166064904
15.0,5.245739476946982
16.0,4.617126134296095
17.0,5.017303552706374
18.0,4.811046909977079
19.0,4.96473203405783
20.0,5.041553717853257
21.0,5.025665946916886
22.0,4.582983820612942
23.0,4.5575320492564835
24.0,4.492401791914877
25.0,4.728622003290177
26.0,4.795826203064493
27.0,5.25559256792229
28.0,5.253091100485504
29.0,4.641521340034967
30.0,4.886019108640489
31.0,5.029952195597886
32.0,4.497426514130053
33.0,5.24953980268747
34.0,4.619513201626336
35.0,4.907143219837791
36.0,4.994432185944665
37.0,5.106487664726117
38.0,4.3583048092119485
39.0,5.030056164696375
40.0,4.464131782329012
41.0,4.0378657258507245
42.0,5.254269220357861
43.0,4.761506890680723
44.0,3.9625601673665476
45.0,4.160280824655951
46.0,4.955430193232471
47.0,4.182779403697976
48.0,4.840916377092254
49.0,5.254677888320082
50.0,3.7410728688439097
51.0,4.7612673438907
52.0,4.612651091292295
53.0,5.254225950603952
54.0,5.255872386198127
55.0,4.783131273548741
56.0,4.395249637961421
57.0,5.2540799660835
58.0,4.422316862234093
59.0,4.86022599680303
60.0,4.6763972211521985
61.0,4.689701485169391
62.0,4.643632054760584
63.0,4.882949979264584
64.0,4.9536673717560005
65.0,4.458168405298301
66.0,4.842869728786848
67.0,4.871809095192463
68.0,5.120220399553129
69.0,5.210744633927094
70.0,5.202140802592717
71.0,5.103204798947422
72.0,5.222456879668802
73.0,3.5958754775436814
74.0,4.880515965551184
75.0,4.961215611117904
76.0,4.557578998766779
77.0,4.780877053428586
78.0,4.768539828920379
79.0,4.465999120017827
80.0,3.727839859757927
81.0,4.375066813204114
82.0,4.7019245570298125
83.0,5.1678828972800845
84.0,4.843868712093671
85.0,4.66351125333691
86.0,4.360912920478922
87.0,4.024627806394027
88.0,4.774141989928662
89.0,5.12349972772518
90.0,5.118757188029141
91.0,4.150045178067343
92.0,4.8920013338101205
93.0,4.434843028789181
94.0,4.8479657063556045
95.0,5.253661618338205
96.0,4.993344582541846
97.0,4.32587000035831
98.0,4.898876022109562
99.0,5.171885981921875
100.0,5.254401906972857
