Config,mean,var,std
14_1,nan,nan,nan
14_16,1.728820806366643,0.8123079400612272,0.8815788569410631
14_2,nan,nan,nan
14_4,1.7834611536252403,1.2405042221155336,1.094683372573754
14_8,1.732858307718134,1.0919084032864965,1.0140219910997832
28_1,nan,nan,nan
28_16,1.8615470607101547,1.0353476241415713,0.9816148685507851
28_2,nan,nan,nan
28_4,2.0504597864546468,1.6304936432200632,1.212200654205338
28_8,2.0103796419904554,1.3468639753664844,1.1199238904116506
7_1,nan,nan,nan
7_16,1.0895439749783415,0.17975383976037435,0.4184718703094879
7_2,nan,nan,nan
7_4,0.8893337844535998,0.20257993399681587,0.44735470841098623
7_8,0.9190712157944345,0.21361536083168747,0.4576050993010338
