Config,mean,var,std
14_1,3.3024225773332585,3.5242623941195546,1.8773018921099383
14_16,1.7798975999902031,1.2544471195491145,1.1200210353154598
14_2,2.6819168809044807,2.4838181619195847,1.5760133761867583
14_4,1.9050747842397078,1.4860512119540294,1.219037001880595
14_8,1.6878867752459024,1.6557687666499878,1.2867667879806302
28_1,4.970614899712333,19.625524003457752,4.430070428724328
28_16,2.1388560253216813,1.604999699345138,1.2668858272729782
28_2,2.492856347043665,4.393808734204113,2.096141391749162
28_4,2.1914664283956085,2.150935220314994,1.4666067026694627
28_8,2.0666687732580673,1.882271641039998,1.3719590522460932
7_1,1.3785113411735335,0.19672894585594608,0.44354136882138295
7_16,1.071188555342755,0.22952194430270154,0.4790844855583423
7_2,1.0932104663827569,0.236233780891195,0.4860388676754103
7_4,0.8630199962741084,0.28936603503103764,0.5379275369703969
7_8,0.9219059526407899,0.29406713508547777,0.5422795728086001
