time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.4320,0.0084,-0.0485
20.0000,-1.4072,0.0007,-0.0991
30.0000,-1.1679,0.1274,-0.1232
40.0000,-0.8473,0.1784,-0.1793
50.0000,-0.5737,0.1558,-0.2147
60.0000,-0.3785,0.1386,-0.2446
70.0000,-0.2798,0.1214,-0.2503
80.0000,-0.1843,0.1235,-0.2582
90.0000,-0.1048,0.0873,-0.2577
100.0000,-0.0788,0.1147,-0.2308
110.0000,-0.0185,0.1249,-0.2312
120.0000,0.3264,0.0915,-0.2341
130.0000,0.6457,0.0802,-0.2179
140.0000,0.8702,0.1343,-0.1797
150.0000,0.7916,0.1480,-0.1887
160.0000,0.8157,0.0606,-0.1714
170.0000,0.9263,0.1396,-0.2098
180.0000,0.7227,0.1388,-0.2178
190.0000,0.5723,0.1603,-0.2194
200.0000,0.4006,0.1858,-0.1731
210.0000,0.0860,0.1439,-0.0991
220.0000,-0.1637,0.1484,-0.0580
230.0000,-0.2729,0.2462,-0.0608
240.0000,-0.3276,0.2097,-0.1845
250.0000,-0.1755,0.1772,-0.1989
260.0000,-0.1092,0.2003,-0.1836
270.0000,-0.1563,0.1952,-0.1758
280.0000,-0.0114,0.2053,-0.1542
290.0000,0.0799,0.1012,-0.2353
300.0000,0.1106,0.0805,-0.2359
310.0000,0.1385,0.0697,-0.2406
320.0000,0.1410,0.0508,-0.2622
330.0000,0.0898,0.0352,-0.2604
340.0000,0.0996,0.1105,-0.2447
350.0000,0.0780,0.1297,-0.2421
360.0000,-0.0425,0.1153,-0.2324
370.0000,-0.0656,0.0070,-0.2220
380.0000,-0.1587,-0.1045,-0.2397
390.0000,-0.3192,-0.0448,-0.2575
400.0000,-0.4568,0.1111,-0.2361
410.0000,-0.7152,0.1676,-0.1976
420.0000,-0.6443,0.1575,-0.2110
430.0000,-0.3682,0.2045,-0.1763
440.0000,-0.1313,0.2111,-0.1585
450.0000,-0.1427,0.1460,-0.2080
460.0000,-0.1617,0.0800,-0.2374
470.0000,-0.0615,0.0588,-0.2508
480.0000,0.2559,0.1309,-0.2100
490.0000,0.4649,0.1593,-0.2083
500.0000,0.5185,0.1329,-0.2395
510.0000,0.5674,0.0923,-0.2466
520.0000,0.5421,0.0412,-0.2681
530.0000,0.4828,-0.0020,-0.2794
540.0000,0.4455,-0.0077,-0.2770
550.0000,0.3190,0.1230,-0.2270
560.0000,0.1455,0.1226,-0.2240
570.0000,0.0348,0.0902,-0.1642
580.0000,-0.0333,0.1222,-0.2287
590.0000,-0.1687,0.0988,-0.2517
600.0000,-0.3889,0.1074,-0.2427
610.0000,-0.5098,0.0993,-0.2252
620.0000,-0.6375,0.2224,-0.1476
