time,x,y,z
0.0000,-1.5000,0.0000,0.0000
10.0000,-1.2685,-0.2118,-0.1257
20.0000,-1.2555,-0.1769,-0.1861
30.0000,-1.2230,-0.1033,-0.2009
40.0000,-1.1904,-0.0805,-0.1480
50.0000,-1.2256,-0.1298,-0.1244
60.0000,-1.1809,-0.0882,0.0161
70.0000,-1.0565,-0.0316,0.0087
80.0000,-0.9655,0.0454,0.0051
90.0000,-0.8552,0.1483,0.0845
100.0000,-0.8264,0.2371,0.0952
110.0000,-0.9879,0.2297,0.1104
120.0000,-1.1878,0.2125,0.1254
130.0000,-1.3072,0.1669,0.1913
140.0000,-1.4674,0.1912,0.1545
150.0000,-1.4876,0.1583,0.2038
160.0000,-1.4630,0.1567,0.1912
170.0000,-1.4376,0.1499,0.1360
180.0000,-1.4255,0.1907,0.1659
190.0000,-1.3659,0.1262,0.1816
200.0000,-1.3319,0.1650,0.0618
210.0000,-1.2750,0.1737,0.1724
220.0000,-1.2109,0.1596,0.1348
230.0000,-1.0749,0.1888,0.1787
240.0000,-1.0120,0.1943,0.1714
250.0000,-0.9178,0.1908,0.1724
260.0000,-0.7023,0.2176,0.1327
270.0000,-0.5590,0.2062,0.1477
280.0000,-0.4803,0.1658,0.1518
290.0000,-0.4941,0.1505,0.2034
300.0000,-0.6953,0.1150,0.2284
310.0000,-0.8312,0.1642,0.1910
320.0000,-0.9823,0.1768,0.1449
330.0000,-0.9929,0.1888,0.1448
340.0000,-1.1255,0.1573,0.0765
350.0000,-1.1367,0.1530,-0.0058
360.0000,-0.9771,0.1950,0.0390
370.0000,-0.8174,0.1095,0.1299
380.0000,-0.8413,0.1290,0.1192
390.0000,-0.8294,0.1992,0.1642
400.0000,-0.7463,0.2200,0.1287
410.0000,-0.5099,0.1867,0.1703
420.0000,-0.4470,0.1086,0.2055
430.0000,-0.3538,0.0691,0.1666
440.0000,-0.3259,0.1238,0.0911
450.0000,-0.3463,0.1353,-0.0504
460.0000,-0.3082,0.1470,-0.0628
470.0000,-0.2350,0.1872,-0.0810
480.0000,-0.2161,0.2034,-0.0435
490.0000,-0.1494,0.2650,0.0083
500.0000,0.0534,0.2416,0.0365
510.0000,0.2469,0.2572,0.0482
520.0000,0.3251,0.2193,0.1296
530.0000,0.4394,0.2311,0.1068
540.0000,0.2749,0.2169,0.1060
550.0000,0.0910,0.2382,0.0787
560.0000,0.0640,0.2303,0.1109
570.0000,0.2247,0.2288,0.1123
580.0000,0.3346,0.2283,0.1040
590.0000,0.4674,0.2256,0.1151
600.0000,0.6542,0.2237,0.1289
610.0000,0.8261,0.2062,0.1651
620.0000,1.0356,0.2096,0.1589
630.0000,1.1349,0.1443,0.2026
640.0000,1.3282,0.0876,0.2195
650.0000,1.4697,0.1545,0.1789
660.0000,1.6694,0.1189,0.1529
670.0000,1.7067,0.1314,0.0571
680.0000,1.7377,0.0904,0.0631
690.0000,1.7511,0.0426,0.0677
700.0000,1.7484,0.0650,0.0364
710.0000,1.7303,0.1156,0.0172
720.0000,1.7455,0.0588,0.0210
730.0000,1.7449,0.0466,0.0613
740.0000,1.7534,0.0443,0.0186
750.0000,1.7522,0.0143,0.0187
760.0000,1.7441,0.0302,0.0363
770.0000,1.7384,0.0787,-0.0193
780.0000,1.7159,0.1285,0.0088
790.0000,1.5723,0.1793,-0.0239
800.0000,1.4602,0.2230,0.0355
810.0000,1.4244,0.2197,0.0364
820.0000,1.3827,0.2051,0.0938
830.0000,1.3759,0.1140,0.2095
840.0000,1.2183,0.0226,0.2227
850.0000,1.1994,-0.1620,0.1728
860.0000,1.1543,-0.2450,0.0315
870.0000,1.1339,-0.2485,-0.0713
880.0000,1.1683,-0.2489,-0.0703
890.0000,1.2932,-0.2578,-0.0007
900.0000,1.4516,-0.2585,0.0185
910.0000,1.6265,-0.2174,0.0598
920.0000,1.6686,-0.1716,0.0878
930.0000,1.6961,-0.1252,0.0722
940.0000,1.7248,-0.0553,0.1082
950.0000,1.7446,-0.0218,0.0743
960.0000,1.7544,0.0160,0.0391
970.0000,1.7534,-0.0118,-0.0098
980.0000,1.7437,-0.0327,0.0147
990.0000,1.7190,-0.1416,-0.0061
1000.0000,1.7149,-0.1450,-0.0394
1010.0000,1.7285,-0.0981,-0.0675
1020.0000,1.7255,-0.0986,-0.0788
1030.0000,1.7361,-0.0817,-0.0540
1040.0000,1.7317,-0.1072,-0.0074
1050.0000,1.7205,-0.1159,-0.0297
1060.0000,1.6597,-0.1922,-0.0271
1070.0000,1.4477,-0.2388,-0.0607
1080.0000,1.3484,-0.2077,-0.0663
1090.0000,1.3279,-0.2312,-0.0937
1100.0000,1.3298,-0.1654,-0.0623
1110.0000,1.1934,-0.0044,-0.0955
1120.0000,1.2192,0.1226,0.0078
1130.0000,1.2582,0.1272,0.1034
1140.0000,1.2616,0.0805,0.0722
1150.0000,1.2216,0.0822,-0.0156
1160.0000,1.2577,0.1093,-0.0635
1170.0000,1.3473,0.2232,-0.1135
1180.0000,1.4466,0.2274,-0.1106
1190.0000,1.5456,0.1417,-0.2012
1200.0000,1.4673,0.1271,-0.2168
1210.0000,1.3093,0.1640,-0.1994
