time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.1640,0.0186,-0.1543
20.0000,-12.1035,0.0487,-0.2286
30.0000,-12.0740,0.0732,-0.2341
40.0000,-12.0238,0.0874,-0.2239
50.0000,-11.9829,0.0351,-0.2318
60.0000,-11.8904,-0.0102,-0.1909
70.0000,-11.6844,-0.0544,-0.0406
80.0000,-11.4639,-0.1076,0.0466
90.0000,-11.2550,-0.1513,-0.0053
100.0000,-11.0508,-0.1422,0.0609
110.0000,-10.8461,-0.1951,0.1504
120.0000,-10.6327,-0.0945,0.1563
130.0000,-10.6472,-0.0724,0.0780
140.0000,-10.6445,-0.0688,0.0674
150.0000,-10.5732,0.0421,0.0094
160.0000,-10.5819,0.1498,-0.0261
170.0000,-10.6165,0.2218,-0.0588
180.0000,-10.6228,0.2261,-0.0554
190.0000,-10.6251,0.2090,-0.0933
200.0000,-10.6098,0.2013,-0.0968
210.0000,-10.6197,0.1397,-0.1065
220.0000,-10.6082,0.1225,-0.0219
230.0000,-10.6082,0.0005,0.0666
240.0000,-10.5808,0.0044,0.2068
250.0000,-10.4993,0.0093,0.2581
260.0000,-10.4469,0.0402,0.2538
270.0000,-10.4385,0.0196,0.2443
280.0000,-10.3501,0.0129,0.1532
290.0000,-10.1190,0.0927,0.0976
300.0000,-9.9127,0.1075,0.1360
310.0000,-9.7892,0.1221,0.1723
320.0000,-9.6135,0.1326,0.2078
330.0000,-9.4647,0.0345,0.2398
340.0000,-9.2607,0.0572,0.2347
350.0000,-9.0711,-0.0236,0.2516
360.0000,-8.9095,-0.0436,0.2489
370.0000,-8.7472,-0.0899,0.2383
380.0000,-8.5454,-0.0068,0.2500
390.0000,-8.3487,0.0106,0.2566
400.0000,-8.1958,-0.0964,0.2338
410.0000,-8.1517,-0.0856,0.2009
420.0000,-8.1976,-0.0879,0.1529
430.0000,-8.2544,-0.0389,0.0873
440.0000,-8.1926,-0.0071,-0.0294
450.0000,-8.1290,-0.0111,-0.1038
460.0000,-8.1404,0.0198,-0.1553
470.0000,-8.1389,0.0979,-0.0480
480.0000,-8.0136,0.1790,0.0680
490.0000,-8.0633,0.0454,0.2487
500.0000,-8.0838,-0.0095,0.2217
