Run,Time to reach center
1.0,930.0
2.0,2090.0
3.0,90.0
4.0,510.0
5.0,3670.0
6.0,1230.0
7.0,
8.0,
9.0,310.0
10.0,2030.0
11.0,2220.0
12.0,650.0
13.0,
14.0,2780.0
15.0,
16.0,2040.0
17.0,1590.0
18.0,450.0
19.0,1000.0
20.0,480.0
21.0,970.0
22.0,20.0
23.0,100.0
24.0,300.0
25.0,290.0
26.0,20.0
27.0,850.0
28.0,650.0
29.0,50.0
30.0,310.0
31.0,810.0
32.0,100.0
33.0,1140.0
34.0,500.0
35.0,830.0
36.0,2920.0
37.0,130.0
38.0,740.0
39.0,400.0
40.0,960.0
41.0,1820.0
42.0,1150.0
43.0,2490.0
44.0,1220.0
45.0,1050.0
46.0,310.0
47.0,
48.0,1180.0
49.0,30.0
50.0,830.0
51.0,2810.0
52.0,40.0
53.0,930.0
54.0,2140.0
55.0,510.0
56.0,2440.0
57.0,1060.0
58.0,1320.0
59.0,3630.0
60.0,750.0
61.0,3200.0
62.0,900.0
63.0,1940.0
64.0,3750.0
65.0,660.0
66.0,40.0
67.0,850.0
68.0,970.0
69.0,
70.0,150.0
71.0,640.0
72.0,680.0
73.0,250.0
74.0,1280.0
75.0,570.0
76.0,20.0
77.0,1640.0
78.0,1900.0
79.0,90.0
80.0,720.0
81.0,120.0
82.0,990.0
83.0,8030.0
84.0,30.0
85.0,1860.0
86.0,2740.0
87.0,250.0
88.0,1860.0
89.0,970.0
90.0,590.0
91.0,1830.0
92.0,2090.0
93.0,920.0
94.0,110.0
95.0,10.0
96.0,1070.0
97.0,820.0
98.0,520.0
99.0,1490.0
100.0,820.0
