Run,Final distance to center
1.0,1.4705252020961763
2.0,0.511777793578424
3.0,1.7547197981444216
4.0,1.16960241962814
5.0,0.9925251130324109
6.0,0.9748746688677473
7.0,1.741953047587678
8.0,1.5403828030720155
9.0,1.0969790608758219
10.0,0.9550438785731261
11.0,1.4423944294124267
12.0,0.795403017344038
13.0,1.295646938791583
14.0,1.3673211546670374
15.0,1.752450518559654
16.0,1.5775674280359622
17.0,1.3294091356689255
18.0,1.5219413227848175
19.0,1.2259756115029368
20.0,0.7417528766374958
21.0,1.7541093865548978
22.0,0.5345076706652581
23.0,1.3979372160436963
24.0,1.4407792440204017
25.0,1.4946984511934172
26.0,1.4424822286600276
27.0,0.46028974570372516
28.0,0.7070600045257828
29.0,0.7839954719256994
30.0,0.9276807101584036
31.0,1.6030651951807826
32.0,1.028406087107617
33.0,1.6319393554908832
34.0,0.8669868972481649
35.0,0.9076524720398221
36.0,1.5233846362622934
37.0,1.6834477271361885
38.0,0.9407040926880248
39.0,0.28669557024830367
40.0,1.3379055684165455
41.0,1.7555307715901762
42.0,1.2115300780418123
43.0,1.2419771374707345
44.0,1.5045386568646215
45.0,0.7388829135932161
46.0,1.2537932684457993
47.0,1.3864858311573183
48.0,1.0561576113440645
49.0,1.7307875230657288
50.0,0.6289226661522067
51.0,1.342303296576448
52.0,1.3128898887568599
53.0,1.3793542474650955
54.0,1.7513114029206802
55.0,1.2064354147653327
56.0,1.1948710390665598
57.0,1.1295857072396056
58.0,0.9458670202517899
59.0,1.7181151445697695
60.0,1.033474116753777
61.0,1.6955453016655142
62.0,1.750603972919061
63.0,0.6816115756059311
64.0,1.6449691182511603
65.0,1.1160796252956149
66.0,1.5014786911574869
67.0,1.4166310211201787
68.0,0.9353439795070047
69.0,1.761820765571799
70.0,1.6420180784632064
71.0,1.206954879024067
72.0,1.4670026141762664
73.0,1.756232424823093
74.0,1.2414324548681657
75.0,1.6086883135026497
76.0,0.5553541662759001
77.0,1.5858404112646391
78.0,1.2921928687312898
79.0,1.2270572602776122
80.0,0.8393830412868728
81.0,1.5342555654127508
82.0,1.5747874554999477
83.0,1.5874903275295884
84.0,0.6828840165064636
85.0,1.1095248442464007
86.0,1.26576172718249
87.0,0.6548164322922876
88.0,0.7551157063655874
89.0,1.0051696075787409
90.0,1.6385065639172764
91.0,1.4150248195703141
92.0,1.437038391971488
93.0,1.1928477689965304
94.0,1.630924265562322
95.0,1.4814669655446255
96.0,1.1549489036316716
97.0,1.3611023877724997
98.0,1.7453215663596207
99.0,1.5591945132022496
100.0,0.5272081752021681
