time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-11.9820,0.0787,-0.0132
20.0000,-12.0672,0.0843,-0.0225
30.0000,-11.9696,0.1227,-0.1008
40.0000,-11.9924,0.1109,-0.1542
50.0000,-12.0005,0.0203,-0.2066
60.0000,-11.9610,0.0607,-0.2014
70.0000,-11.9124,0.0263,-0.1904
80.0000,-11.7965,0.0500,-0.2313
90.0000,-11.6856,0.0755,-0.2219
100.0000,-11.5236,0.0111,-0.2958
110.0000,-11.4775,-0.0038,-0.3347
120.0000,-11.5022,0.0140,-0.2870
130.0000,-11.4343,-0.0552,-0.2929
140.0000,-11.4193,-0.0891,-0.2915
150.0000,-11.3837,-0.1155,-0.3160
160.0000,-11.4394,-0.0159,-0.2793
170.0000,-11.5001,-0.0236,-0.2313
180.0000,-11.5846,0.0115,-0.2422
190.0000,-11.5510,0.0136,-0.2264
200.0000,-11.5006,0.0108,-0.2341
210.0000,-11.4406,0.0500,-0.1852
220.0000,-11.4225,0.0958,-0.2299
230.0000,-11.3949,0.1321,-0.1928
240.0000,-11.3092,0.1503,-0.2085
250.0000,-11.2967,0.1341,-0.1805
260.0000,-11.2661,0.0870,-0.1629
270.0000,-11.2004,0.0951,-0.1842
280.0000,-11.1384,0.0778,-0.1912
290.0000,-11.1101,0.1482,-0.2428
300.0000,-11.0592,0.1283,-0.3031
310.0000,-11.0827,0.1434,-0.2806
320.0000,-11.0580,0.1221,-0.2192
330.0000,-11.0408,0.1375,-0.2259
340.0000,-10.9621,0.0927,-0.2373
350.0000,-10.9743,0.1504,-0.2582
360.0000,-10.9818,0.1884,-0.2673
370.0000,-10.9263,0.1408,-0.2452
380.0000,-10.9697,0.1061,-0.2090
390.0000,-10.9866,0.1250,-0.1889
400.0000,-11.0073,0.1029,-0.1371
410.0000,-11.0316,0.1059,-0.1023
420.0000,-10.9659,0.1240,-0.1591
430.0000,-10.9675,0.1753,-0.2020
440.0000,-10.9718,0.1793,-0.1311
450.0000,-10.9507,0.1838,-0.1737
460.0000,-10.9896,0.1588,-0.1187
470.0000,-11.0385,0.1965,-0.1120
480.0000,-11.0221,0.2037,-0.1217
490.0000,-10.9825,0.2433,-0.1715
500.0000,-10.9822,0.3238,-0.2048
510.0000,-10.9502,0.3141,-0.1070
520.0000,-10.9034,0.2736,-0.0925
530.0000,-10.8983,0.2642,-0.0913
540.0000,-10.8763,0.2233,-0.0930
550.0000,-10.9260,0.2155,-0.0454
560.0000,-10.9095,0.2268,-0.0716
570.0000,-10.9242,0.2073,-0.0729
580.0000,-10.9715,0.1391,0.0000
590.0000,-10.9635,0.1054,0.0155
600.0000,-10.9368,0.1192,0.0535
610.0000,-10.9370,0.1055,0.1160
620.0000,-10.8666,0.1441,0.1864
630.0000,-10.7534,0.1231,0.2026
640.0000,-10.7010,0.1217,0.2248
650.0000,-10.6061,0.0889,0.2395
660.0000,-10.5862,0.0666,0.2757
670.0000,-10.5366,0.0964,0.2929
680.0000,-10.4747,0.0518,0.2874
690.0000,-10.4597,0.0348,0.3151
700.0000,-10.3866,-0.0420,0.3079
710.0000,-10.4627,-0.0155,0.3637
720.0000,-10.4963,-0.0257,0.3632
730.0000,-10.4835,-0.0130,0.3398
740.0000,-10.4621,0.0210,0.3009
750.0000,-10.4669,0.0232,0.3188
760.0000,-10.3563,0.0243,0.3455
770.0000,-10.3396,0.0868,0.3487
780.0000,-10.3334,0.1312,0.3538
790.0000,-10.3126,0.1464,0.4063
800.0000,-10.2687,0.1530,0.4828
810.0000,-10.2811,0.1475,0.5044
820.0000,-10.3191,0.1922,0.4786
830.0000,-10.3635,0.1753,0.4471
840.0000,-10.3754,0.1522,0.4684
850.0000,-10.3652,0.1654,0.4604
860.0000,-10.3239,0.1704,0.4492
870.0000,-10.2878,0.1557,0.4727
880.0000,-10.3441,0.1711,0.4293
890.0000,-10.3188,0.2029,0.5081
900.0000,-10.2569,0.2370,0.5328
910.0000,-10.2283,0.2273,0.5726
920.0000,-10.2501,0.2626,0.5868
930.0000,-10.2403,0.2893,0.5695
940.0000,-10.2350,0.2653,0.5770
950.0000,-10.2057,0.2447,0.5261
960.0000,-10.1947,0.2474,0.5337
970.0000,-10.1558,0.2557,0.4299
980.0000,-10.1546,0.2039,0.4448
990.0000,-10.1982,0.2629,0.4777
1000.0000,-10.2157,0.2585,0.4437
1010.0000,-10.2344,0.3042,0.4530
1020.0000,-10.2220,0.3163,0.4530
1030.0000,-10.2908,0.3097,0.4768
1040.0000,-10.2919,0.3142,0.5117
1050.0000,-10.3037,0.3050,0.5206
1060.0000,-10.3230,0.2835,0.5059
1070.0000,-10.3372,0.2182,0.4684
1080.0000,-10.3276,0.2198,0.4026
1090.0000,-10.3645,0.2318,0.3942
1100.0000,-10.3200,0.2358,0.3836
1110.0000,-10.3553,0.2259,0.3756
1120.0000,-10.4248,0.1968,0.4332
1130.0000,-10.5368,0.1879,0.4743
1140.0000,-10.4969,0.1821,0.4702
1150.0000,-10.5181,0.1940,0.5303
1160.0000,-10.5023,0.1384,0.5429
1170.0000,-10.5215,0.1142,0.5420
1180.0000,-10.4949,0.0740,0.5179
1190.0000,-10.5067,0.0671,0.5637
1200.0000,-10.5625,0.0290,0.5380
1210.0000,-10.6047,0.0055,0.5966
1220.0000,-10.7161,0.0382,0.6224
1230.0000,-10.7411,0.0562,0.6428
1240.0000,-10.8192,0.0379,0.6165
1250.0000,-10.8489,0.0586,0.6165
1260.0000,-10.8764,0.0268,0.6109
1270.0000,-10.9301,0.0600,0.6275
1280.0000,-10.9739,0.0628,0.6924
1290.0000,-10.9637,0.0765,0.7245
1300.0000,-10.9006,0.0301,0.7424
1310.0000,-10.8707,0.0347,0.6855
1320.0000,-10.8551,-0.0041,0.6896
1330.0000,-10.8411,0.0215,0.7075
1340.0000,-10.7859,0.0201,0.6516
1350.0000,-10.7645,-0.0145,0.6702
1360.0000,-10.7171,-0.0155,0.5865
1370.0000,-10.6354,0.0033,0.5644
1380.0000,-10.5989,-0.0019,0.5086
1390.0000,-10.5500,-0.0520,0.5048
1400.0000,-10.5290,0.0332,0.4885
1410.0000,-10.5166,0.0704,0.4825
1420.0000,-10.5376,0.1094,0.4863
1430.0000,-10.4327,0.1672,0.4524
1440.0000,-10.4305,0.1789,0.3687
1450.0000,-10.5091,0.1456,0.3377
1460.0000,-10.6177,0.2032,0.3400
1470.0000,-10.6514,0.1425,0.2827
1480.0000,-10.6987,0.1760,0.2708
1490.0000,-10.7432,0.1976,0.3178
1500.0000,-10.7622,0.0882,0.3548
1510.0000,-10.7894,0.1215,0.3557
1520.0000,-10.7922,0.1168,0.3479
1530.0000,-10.7835,0.1212,0.4265
1540.0000,-10.8058,0.1355,0.4806
1550.0000,-10.8171,0.1671,0.5185
1560.0000,-10.7938,0.1791,0.5132
1570.0000,-10.8010,0.2067,0.4891
1580.0000,-10.7671,0.2497,0.5428
1590.0000,-10.7261,0.3133,0.5831
1600.0000,-10.6808,0.3199,0.6427
1610.0000,-10.6890,0.2973,0.6583
1620.0000,-10.7144,0.3277,0.6834
1630.0000,-10.6954,0.3311,0.7094
1640.0000,-10.6994,0.3628,0.7019
1650.0000,-10.7009,0.4213,0.6709
1660.0000,-10.6837,0.4357,0.6350
1670.0000,-10.6939,0.4249,0.6542
1680.0000,-10.6753,0.4042,0.5802
1690.0000,-10.6522,0.4050,0.5890
1700.0000,-10.6736,0.3942,0.5836
1710.0000,-10.6456,0.3613,0.6098
1720.0000,-10.6821,0.3296,0.6216
1730.0000,-10.6364,0.3429,0.6373
1740.0000,-10.6813,0.3476,0.6509
1750.0000,-10.6492,0.3195,0.6275
1760.0000,-10.6699,0.3591,0.6544
1770.0000,-10.6574,0.4272,0.6203
1780.0000,-10.6487,0.5051,0.6299
1790.0000,-10.6615,0.5520,0.6624
1800.0000,-10.6647,0.5754,0.7113
1810.0000,-10.6724,0.5711,0.7379
1820.0000,-10.7187,0.5334,0.7367
1830.0000,-10.7172,0.4815,0.7043
1840.0000,-10.6986,0.5458,0.7006
1850.0000,-10.6648,0.5209,0.6323
1860.0000,-10.6399,0.5382,0.5939
1870.0000,-10.7546,0.5035,0.6049
1880.0000,-10.8056,0.4633,0.5942
1890.0000,-10.8447,0.4182,0.6452
1900.0000,-10.9133,0.3620,0.6739
1910.0000,-10.9207,0.3235,0.6068
1920.0000,-10.9251,0.3541,0.5674
1930.0000,-10.9348,0.3969,0.4789
1940.0000,-10.9858,0.3690,0.5326
1950.0000,-11.0552,0.4256,0.5638
1960.0000,-11.1454,0.4734,0.5632
1970.0000,-11.2081,0.4479,0.5918
1980.0000,-11.1928,0.4211,0.6139
1990.0000,-11.2290,0.3947,0.6234
2000.0000,-11.2534,0.3753,0.5717
2010.0000,-11.3113,0.3846,0.5366
2020.0000,-11.3825,0.3136,0.5182
2030.0000,-11.4325,0.3273,0.4970
2040.0000,-11.4529,0.3415,0.5134
2050.0000,-11.4989,0.3554,0.4914
2060.0000,-11.5855,0.3493,0.4663
2070.0000,-11.6051,0.4076,0.5088
2080.0000,-11.5462,0.3941,0.4954
2090.0000,-11.5128,0.3814,0.4861
2100.0000,-11.6167,0.3618,0.4508
2110.0000,-11.6096,0.4210,0.3775
2120.0000,-11.6532,0.3869,0.3819
2130.0000,-11.6563,0.3818,0.3038
2140.0000,-11.5833,0.3622,0.2757
2150.0000,-11.5442,0.4107,0.2139
2160.0000,-11.5687,0.4782,0.2430
2170.0000,-11.5558,0.4745,0.2762
2180.0000,-11.5404,0.5311,0.2870
2190.0000,-11.5578,0.6217,0.3060
2200.0000,-11.5451,0.5892,0.2738
2210.0000,-11.5469,0.6208,0.2758
2220.0000,-11.5026,0.7097,0.3547
2230.0000,-11.5414,0.6959,0.3297
2240.0000,-11.4727,0.7366,0.3776
2250.0000,-11.5266,0.7093,0.4447
2260.0000,-11.4746,0.6415,0.4346
2270.0000,-11.4380,0.6738,0.3899
2280.0000,-11.4203,0.6654,0.3814
2290.0000,-11.5119,0.6665,0.4111
2300.0000,-11.5235,0.6178,0.3940
2310.0000,-11.5309,0.6607,0.3115
2320.0000,-11.5026,0.6491,0.3124
2330.0000,-11.4840,0.6434,0.2942
2340.0000,-11.4619,0.6522,0.3074
2350.0000,-11.4004,0.6240,0.3155
2360.0000,-11.3218,0.6640,0.3355
2370.0000,-11.3337,0.6689,0.2758
2380.0000,-11.2589,0.6438,0.2592
2390.0000,-11.1958,0.6114,0.2500
2400.0000,-11.1315,0.6389,0.2838
2410.0000,-11.0459,0.6422,0.2588
2420.0000,-11.0218,0.7175,0.2757
2430.0000,-10.8872,0.6324,0.2434
2440.0000,-10.8366,0.5645,0.2693
2450.0000,-10.7921,0.5550,0.2532
2460.0000,-10.6894,0.5788,0.2664
2470.0000,-10.5873,0.5317,0.2424
2480.0000,-10.5386,0.5442,0.2385
2490.0000,-10.5288,0.5126,0.2602
2500.0000,-10.5659,0.4979,0.2918
2510.0000,-10.5925,0.4663,0.2892
2520.0000,-10.6688,0.4681,0.2407
2530.0000,-10.6970,0.4449,0.2596
2540.0000,-10.6899,0.4008,0.2949
2550.0000,-10.7330,0.3892,0.2492
2560.0000,-10.7949,0.3460,0.2054
2570.0000,-10.8181,0.3013,0.2437
2580.0000,-10.9010,0.3207,0.2784
2590.0000,-10.9689,0.2826,0.2839
2600.0000,-11.0072,0.3007,0.2410
2610.0000,-11.0343,0.2978,0.2587
2620.0000,-11.1130,0.3084,0.2441
2630.0000,-11.1366,0.3677,0.2594
2640.0000,-11.1828,0.3983,0.2664
2650.0000,-11.1623,0.3797,0.2595
2660.0000,-11.2095,0.3549,0.2801
2670.0000,-11.1892,0.3098,0.2476
2680.0000,-11.1934,0.3024,0.2312
2690.0000,-11.2296,0.3353,0.2639
2700.0000,-11.2278,0.3756,0.2903
2710.0000,-11.1761,0.3785,0.2700
2720.0000,-11.1770,0.3980,0.2611
2730.0000,-11.1211,0.4028,0.2992
2740.0000,-11.1484,0.4313,0.3008
2750.0000,-11.1095,0.4223,0.2938
2760.0000,-11.0371,0.4184,0.3248
2770.0000,-11.1093,0.4643,0.3509
2780.0000,-11.1163,0.4624,0.3547
2790.0000,-11.1514,0.4747,0.4031
2800.0000,-11.0983,0.4527,0.4118
2810.0000,-11.1378,0.4403,0.3967
2820.0000,-11.1467,0.4791,0.3874
2830.0000,-11.1899,0.4515,0.4079
2840.0000,-11.2552,0.4083,0.4426
2850.0000,-11.3057,0.4348,0.4705
2860.0000,-11.3280,0.4250,0.5244
2870.0000,-11.3695,0.3908,0.5593
2880.0000,-11.3367,0.4005,0.5451
2890.0000,-11.3429,0.3488,0.6336
2900.0000,-11.3347,0.2853,0.6660
2910.0000,-11.3057,0.3136,0.6979
2920.0000,-11.3157,0.2718,0.7102
2930.0000,-11.3012,0.2535,0.7262
2940.0000,-11.2935,0.2890,0.8077
2950.0000,-11.2959,0.2385,0.8240
2960.0000,-11.3505,0.2500,0.8827
2970.0000,-11.4205,0.1775,0.9157
2980.0000,-11.5028,0.1572,0.9325
2990.0000,-11.6120,0.1518,0.9565
3000.0000,-11.7596,0.1162,0.9956
3010.0000,-11.8008,0.0691,1.0325
3020.0000,-11.9124,0.1244,1.1148
3030.0000,-11.9912,0.1596,1.0510
3040.0000,-12.0248,0.1344,1.0756
3050.0000,-12.0238,0.1894,1.0820
3060.0000,-12.0534,0.1973,1.0883
3070.0000,-11.9897,0.1447,1.0957
3080.0000,-11.9831,0.2110,1.0829
3090.0000,-11.9262,0.2258,1.0970
3100.0000,-11.8913,0.2252,1.0619
3110.0000,-11.7563,0.2391,1.0547
3120.0000,-11.6849,0.1952,1.0396
3130.0000,-11.6056,0.1904,1.0460
3140.0000,-11.5071,0.2197,1.0699
3150.0000,-11.4904,0.2092,1.0761
3160.0000,-11.4331,0.1955,1.0257
3170.0000,-11.4322,0.2401,1.0229
3180.0000,-11.4813,0.2514,1.0113
3190.0000,-11.5571,0.2371,0.9668
3200.0000,-11.6274,0.2720,0.9968
3210.0000,-11.7116,0.3264,1.0265
3220.0000,-11.7587,0.2791,1.0101
3230.0000,-11.7885,0.3152,1.0691
3240.0000,-11.8193,0.3119,1.1481
3250.0000,-11.7956,0.3059,1.1266
3260.0000,-11.8439,0.2548,1.1722
3270.0000,-11.9320,0.2070,1.1787
3280.0000,-11.9371,0.2604,1.2003
3290.0000,-11.9209,0.2802,1.1471
3300.0000,-11.9438,0.2251,1.1550
3310.0000,-12.0115,0.2220,1.1515
3320.0000,-12.0755,0.2422,1.1521
3330.0000,-12.1136,0.2195,1.1612
3340.0000,-12.1327,0.1868,1.1413
3350.0000,-12.0301,0.2053,1.2097
3360.0000,-12.0333,0.0957,1.1963
3370.0000,-11.9200,0.0489,1.2406
3380.0000,-11.8598,0.1030,1.2230
3390.0000,-11.8523,0.0923,1.1772
3400.0000,-11.8328,0.0520,1.1919
3410.0000,-11.7757,0.0959,1.1782
3420.0000,-11.7553,0.1261,1.0980
3430.0000,-11.7909,0.1655,1.0905
3440.0000,-11.7764,0.0941,1.0899
3450.0000,-11.7717,0.0894,1.0182
3460.0000,-11.6970,0.0548,1.0224
3470.0000,-11.6505,0.1049,1.0648
3480.0000,-11.7134,0.0979,0.9816
3490.0000,-11.6756,0.1228,0.9229
3500.0000,-11.7164,0.1683,0.8604
3510.0000,-11.6857,0.2092,0.8735
3520.0000,-11.7049,0.2299,0.9254
3530.0000,-11.6353,0.2649,0.9395
3540.0000,-11.6583,0.2687,0.9418
3550.0000,-11.6411,0.2130,0.8952
3560.0000,-11.6602,0.1598,0.9154
3570.0000,-11.6406,0.1699,0.8934
3580.0000,-11.5269,0.1681,0.8904
3590.0000,-11.5096,0.1889,0.9044
3600.0000,-11.3986,0.2423,0.8782
3610.0000,-11.4626,0.2562,0.8797
3620.0000,-11.4037,0.2587,0.8469
3630.0000,-11.4029,0.2416,0.8324
3640.0000,-11.3758,0.1807,0.8317
3650.0000,-11.3681,0.1455,0.8406
3660.0000,-11.3736,0.1106,0.8720
3670.0000,-11.3001,0.1403,0.8670
3680.0000,-11.3791,0.0696,0.8197
3690.0000,-11.4433,0.0269,0.7278
3700.0000,-11.4776,0.0494,0.7582
3710.0000,-11.4848,0.0203,0.8441
3720.0000,-11.4907,0.0317,0.8585
3730.0000,-11.4678,0.0314,0.8275
3740.0000,-11.4636,0.0130,0.7610
3750.0000,-11.4072,0.0308,0.7935
3760.0000,-11.4297,0.0044,0.8603
3770.0000,-11.4450,-0.0045,0.8576
3780.0000,-11.4906,-0.0954,0.8261
3790.0000,-11.4925,-0.0745,0.8019
3800.0000,-11.5501,-0.0649,0.7892
3810.0000,-11.4785,-0.0776,0.7852
3820.0000,-11.3981,-0.0679,0.8020
3830.0000,-11.3261,-0.0650,0.7845
3840.0000,-11.3045,-0.0484,0.8001
3850.0000,-11.3546,-0.0090,0.8588
3860.0000,-11.3728,-0.0056,0.8527
3870.0000,-11.3959,0.0025,0.8274
3880.0000,-11.4615,0.0329,0.7962
3890.0000,-11.4118,0.0119,0.8042
3900.0000,-11.4794,-0.0146,0.7830
3910.0000,-11.4576,0.0096,0.8394
3920.0000,-11.4632,0.0018,0.8638
3930.0000,-11.4418,0.0466,0.8244
3940.0000,-11.4433,-0.0070,0.8512
3950.0000,-11.4817,0.0198,0.8615
3960.0000,-11.4609,0.0549,0.9165
3970.0000,-11.4461,0.0102,0.9846
3980.0000,-11.4470,0.0665,0.9744
3990.0000,-11.3829,0.0719,0.9893
4000.0000,-11.3665,0.1180,0.9599
4010.0000,-11.3493,0.1597,0.9853
4020.0000,-11.3746,0.1236,1.0371
4030.0000,-11.4252,0.0745,1.0832
4040.0000,-11.3928,0.1277,1.0341
4050.0000,-11.4120,0.1144,1.0225
4060.0000,-11.4209,0.1204,1.0650
4070.0000,-11.4554,0.0670,1.0734
4080.0000,-11.4685,0.0751,1.0938
4090.0000,-11.5198,0.0734,1.0801
4100.0000,-11.5823,0.0853,1.0770
4110.0000,-11.6695,0.0919,1.1149
4120.0000,-11.6909,0.1020,1.1273
4130.0000,-11.6219,0.1299,1.0580
4140.0000,-11.6480,0.0870,1.0797
4150.0000,-11.6689,0.0913,1.1104
4160.0000,-11.7055,0.1051,1.1168
4170.0000,-11.6576,0.1231,1.1211
4180.0000,-11.6771,0.1707,1.1256
4190.0000,-11.7137,0.1434,1.1297
4200.0000,-11.7465,0.1448,1.1005
4210.0000,-11.7344,0.1245,1.0609
4220.0000,-11.7707,0.1375,1.0626
4230.0000,-11.7139,0.1734,1.0034
4240.0000,-11.7088,0.1805,1.0278
4250.0000,-11.7590,0.1722,1.0448
4260.0000,-11.8010,0.1405,1.0964
4270.0000,-11.8229,0.2031,1.1181
4280.0000,-11.8077,0.2172,1.0959
4290.0000,-11.8105,0.2787,1.1083
4300.0000,-11.8222,0.3080,1.0887
4310.0000,-11.8663,0.3155,1.1166
4320.0000,-11.9707,0.2886,1.1073
4330.0000,-12.0227,0.2991,1.1256
4340.0000,-12.0236,0.2708,1.1571
4350.0000,-12.0047,0.2639,1.1797
4360.0000,-12.0435,0.2557,1.1679
4370.0000,-12.1386,0.2550,1.1699
4380.0000,-12.1099,0.2442,1.1311
4390.0000,-12.1571,0.2275,1.1866
4400.0000,-12.1340,0.2600,1.1895
4410.0000,-12.1073,0.2667,1.2320
4420.0000,-12.1208,0.1927,1.2270
4430.0000,-12.0810,0.2163,1.2784
4440.0000,-12.1562,0.2218,1.2353
4450.0000,-12.1869,0.2399,1.2534
4460.0000,-12.1666,0.2840,1.1548
4470.0000,-12.1533,0.3148,1.0929
4480.0000,-12.2017,0.2884,1.0850
4490.0000,-12.2036,0.3622,1.1269
4500.0000,-12.1784,0.4240,1.1237
4510.0000,-12.1804,0.4700,1.1230
4520.0000,-12.1543,0.4372,1.1004
4530.0000,-12.1335,0.3824,1.1325
4540.0000,-12.1303,0.3516,1.1436
4550.0000,-12.0715,0.3015,1.0343
4560.0000,-12.0772,0.2685,1.0066
4570.0000,-12.1106,0.2593,0.9812
4580.0000,-12.1637,0.1853,0.9061
4590.0000,-12.2189,0.2483,0.8873
4600.0000,-12.2165,0.2019,0.8161
4610.0000,-12.2279,0.1604,0.8136
4620.0000,-12.2020,0.2476,0.7965
4630.0000,-12.2078,0.2395,0.7724
4640.0000,-12.2246,0.1833,0.7571
4650.0000,-12.2134,0.1776,0.7096
4660.0000,-12.2216,0.1872,0.7466
4670.0000,-12.1869,0.1655,0.7260
4680.0000,-12.1932,0.1388,0.7335
4690.0000,-12.1352,0.1898,0.7256
4700.0000,-12.1395,0.2139,0.7365
4710.0000,-12.1950,0.1455,0.7376
4720.0000,-12.2102,0.1037,0.7414
4730.0000,-12.2321,0.0477,0.7340
4740.0000,-12.1671,0.0354,0.7301
4750.0000,-12.1642,0.0702,0.6467
4760.0000,-12.1434,0.0026,0.6891
4770.0000,-12.1273,0.0356,0.7148
4780.0000,-12.1964,0.0303,0.7508
4790.0000,-12.1561,-0.0166,0.7309
4800.0000,-12.0969,-0.0433,0.7348
4810.0000,-12.0453,-0.0614,0.6972
4820.0000,-12.0478,-0.0682,0.7171
4830.0000,-11.9958,-0.0562,0.7482
4840.0000,-12.0010,-0.0692,0.7835
4850.0000,-11.9495,-0.0149,0.7609
4860.0000,-11.9292,0.0354,0.7323
4870.0000,-11.8802,0.0864,0.7406
4880.0000,-11.7604,0.0437,0.6859
4890.0000,-11.7085,0.0301,0.6397
4900.0000,-11.6672,0.0479,0.6038
4910.0000,-11.7293,0.0766,0.6264
4920.0000,-11.6996,0.1043,0.6151
4930.0000,-11.6622,0.1011,0.6293
4940.0000,-11.6005,0.1318,0.6420
4950.0000,-11.4942,0.0968,0.5943
4960.0000,-11.4400,0.0598,0.6881
4970.0000,-11.3711,-0.0433,0.6756
4980.0000,-11.2869,-0.0649,0.6931
4990.0000,-11.2380,-0.1154,0.6819
5000.0000,-11.2052,-0.1248,0.6714
5010.0000,-11.2348,-0.1327,0.7574
