time,x,y,z
0.0000,-5.0000,0.0000,0.0000
10.0000,-5.0076,0.0043,-0.0155
20.0000,-4.9672,-0.0010,-0.0605
30.0000,-4.6179,-0.0549,-0.0742
40.0000,-4.2361,-0.0448,-0.1241
50.0000,-3.8572,0.0639,-0.0932
60.0000,-3.5713,0.0459,-0.0869
70.0000,-3.3434,0.0252,-0.1377
80.0000,-3.1937,0.0156,-0.2183
90.0000,-3.0114,0.0106,-0.2581
100.0000,-2.7899,-0.0086,-0.2550
110.0000,-2.5594,0.0643,-0.2463
120.0000,-2.3550,0.0793,-0.2479
130.0000,-2.1738,0.1165,-0.2330
140.0000,-1.9391,0.1740,-0.1861
150.0000,-1.7812,0.2297,-0.0983
160.0000,-1.5862,0.2323,-0.1380
170.0000,-1.3529,0.1148,-0.2112
180.0000,-1.1525,-0.0516,-0.2486
190.0000,-0.9684,-0.0745,-0.2259
200.0000,-0.8337,-0.1528,-0.1821
210.0000,-0.7891,-0.0970,-0.0942
220.0000,-0.7518,0.0105,0.0241
230.0000,-0.7874,0.1660,0.1111
240.0000,-0.7761,0.2703,0.0162
250.0000,-0.7495,0.2653,-0.0058
260.0000,-0.6524,0.2748,-0.0230
270.0000,-0.5902,0.2619,-0.0406
280.0000,-0.5967,0.2596,-0.0508
290.0000,-0.6710,0.2516,-0.0663
300.0000,-0.8484,0.2338,-0.1217
310.0000,-0.9970,0.2280,-0.1316
320.0000,-1.1972,0.2205,-0.1096
330.0000,-1.3005,0.1994,-0.1043
340.0000,-1.2808,0.2116,-0.0990
350.0000,-1.3198,0.2256,-0.1113
360.0000,-1.3614,0.2515,-0.0544
370.0000,-1.3625,0.2290,-0.0732
380.0000,-1.3625,0.2147,-0.1074
390.0000,-1.3720,0.2242,-0.1223
400.0000,-1.3870,0.2063,-0.1549
410.0000,-1.4075,0.2134,-0.1416
420.0000,-1.4604,0.2062,-0.1367
430.0000,-1.5020,0.2009,-0.1225
440.0000,-1.5325,0.1802,-0.1496
450.0000,-1.5269,0.1704,-0.1878
460.0000,-1.4914,0.1648,-0.1925
470.0000,-1.4732,0.1188,-0.2231
480.0000,-1.5466,0.1472,-0.1987
490.0000,-1.5419,0.1283,-0.2016
500.0000,-1.4616,0.1153,-0.1890
510.0000,-1.2615,-0.0159,-0.1888
520.0000,-1.0500,-0.1071,-0.2222
530.0000,-0.7990,-0.0519,-0.2504
540.0000,-0.5585,-0.0491,-0.2445
550.0000,-0.3760,-0.0310,-0.2451
560.0000,-0.2262,0.0076,-0.2339
570.0000,-0.1421,0.0331,-0.2369
580.0000,-0.0974,0.0288,-0.2446
590.0000,-0.0272,0.0136,-0.2194
600.0000,-0.0246,-0.0199,-0.2396
610.0000,-0.0332,-0.0663,-0.2403
620.0000,-0.0114,-0.0779,-0.2342
630.0000,0.0506,-0.0800,-0.1987
640.0000,0.1327,-0.0770,-0.2334
650.0000,0.2041,-0.0529,-0.2471
660.0000,0.2763,-0.0494,-0.2531
670.0000,0.3401,-0.0234,-0.2018
680.0000,0.3069,-0.0391,-0.2082
690.0000,0.2614,-0.0509,-0.1958
700.0000,0.3453,-0.0799,-0.2346
710.0000,0.4235,-0.1436,-0.2170
720.0000,0.4714,-0.1753,-0.1815
