Run,Time to reach center
1.0,170.0
2.0,160.0
3.0,160.0
4.0,190.0
5.0,170.0
6.0,180.0
7.0,160.0
8.0,160.0
9.0,180.0
10.0,410.0
11.0,210.0
12.0,180.0
13.0,160.0
14.0,170.0
15.0,160.0
16.0,170.0
17.0,160.0
18.0,160.0
19.0,170.0
20.0,170.0
21.0,180.0
22.0,190.0
23.0,180.0
24.0,180.0
25.0,170.0
26.0,160.0
27.0,160.0
28.0,190.0
29.0,190.0
30.0,170.0
31.0,170.0
32.0,210.0
33.0,170.0
34.0,170.0
35.0,160.0
36.0,310.0
37.0,190.0
38.0,170.0
39.0,170.0
40.0,250.0
41.0,210.0
42.0,170.0
43.0,160.0
44.0,200.0
45.0,170.0
46.0,170.0
47.0,180.0
48.0,240.0
49.0,180.0
50.0,250.0
51.0,170.0
52.0,300.0
53.0,220.0
54.0,170.0
55.0,180.0
56.0,160.0
57.0,180.0
58.0,230.0
59.0,260.0
60.0,170.0
61.0,160.0
62.0,170.0
63.0,180.0
64.0,170.0
65.0,170.0
66.0,160.0
67.0,160.0
68.0,160.0
69.0,180.0
70.0,170.0
71.0,180.0
72.0,160.0
73.0,150.0
74.0,190.0
75.0,240.0
76.0,200.0
77.0,160.0
78.0,160.0
79.0,170.0
80.0,170.0
81.0,180.0
82.0,160.0
83.0,190.0
84.0,180.0
85.0,170.0
86.0,160.0
87.0,310.0
88.0,160.0
89.0,180.0
90.0,170.0
91.0,170.0
92.0,170.0
93.0,180.0
94.0,160.0
95.0,180.0
96.0,160.0
97.0,160.0
98.0,160.0
99.0,170.0
100.0,160.0
