time,x,y,z
0.0000,-12.0000,0.0000,0.0000
10.0000,-12.0769,-0.1297,0.2707
20.0000,-12.1043,-0.0966,0.2489
30.0000,-12.1263,-0.1047,0.2062
40.0000,-12.0999,-0.0975,0.2079
50.0000,-12.0008,-0.1300,0.1305
60.0000,-11.8680,-0.1779,0.1409
70.0000,-11.6351,-0.1842,0.1767
80.0000,-11.3846,-0.1780,0.1731
90.0000,-11.1588,-0.1827,0.1451
100.0000,-10.9478,-0.1809,0.0517
110.0000,-10.7049,-0.1167,-0.0430
120.0000,-10.4632,-0.0294,-0.1500
130.0000,-10.2452,-0.0106,-0.2154
140.0000,-10.0872,0.1326,-0.2181
150.0000,-9.9046,0.2055,-0.0976
160.0000,-9.7621,0.2281,-0.0965
170.0000,-9.5988,0.1954,-0.1298
180.0000,-9.4417,0.1527,-0.0665
190.0000,-9.2015,0.1400,-0.0262
200.0000,-9.0452,0.0654,-0.0070
210.0000,-8.8879,0.0860,0.0453
220.0000,-8.7114,0.0533,0.1392
230.0000,-8.5306,0.0087,0.2000
240.0000,-8.4120,-0.0250,0.2433
250.0000,-8.2449,-0.0275,0.2444
260.0000,-8.1315,0.0742,0.2370
270.0000,-8.0262,0.0948,0.2305
280.0000,-7.9079,0.0583,0.1827
290.0000,-7.8042,0.0669,0.0938
300.0000,-7.6808,0.2228,0.1036
310.0000,-7.5201,0.2580,0.0218
320.0000,-7.3808,0.2282,-0.0820
330.0000,-7.2015,0.1979,-0.0668
340.0000,-7.1064,0.0977,0.0054
350.0000,-6.9734,0.0539,0.0249
360.0000,-6.8855,-0.0310,0.0078
370.0000,-6.8134,-0.1231,-0.0181
380.0000,-6.7401,-0.0879,-0.0186
390.0000,-6.6436,0.0620,-0.0264
400.0000,-6.5283,0.1380,-0.0223
410.0000,-6.3920,0.2480,-0.0285
420.0000,-6.2833,0.2417,-0.0661
430.0000,-6.2345,0.2201,-0.1067
440.0000,-6.2029,0.1835,-0.0847
450.0000,-6.1208,0.0821,-0.0536
460.0000,-6.0692,0.0718,-0.0482
470.0000,-5.9810,-0.0584,-0.0193
480.0000,-5.8684,-0.0679,0.1056
490.0000,-5.7901,0.0502,0.2095
500.0000,-5.6591,0.1189,0.2105
510.0000,-5.5415,0.0796,0.1751
520.0000,-5.4250,0.0459,0.0796
530.0000,-5.2754,-0.0556,0.0549
540.0000,-5.1575,-0.1132,0.0041
550.0000,-5.0038,-0.1963,0.1278
560.0000,-4.8820,-0.1316,0.1262
570.0000,-4.7551,-0.0476,0.2038
580.0000,-4.6205,-0.0024,0.2164
590.0000,-4.4383,0.0125,0.2219
600.0000,-4.3481,0.0149,0.1518
610.0000,-4.2980,-0.0144,0.1229
620.0000,-4.1933,-0.1237,0.2123
630.0000,-4.1008,-0.2042,0.1423
640.0000,-4.0209,-0.2443,0.0711
650.0000,-3.9443,-0.2202,0.0524
660.0000,-3.8795,-0.1645,0.0226
670.0000,-3.8035,-0.0888,-0.0458
680.0000,-3.7063,-0.0359,-0.0957
690.0000,-3.6552,-0.0465,-0.1355
700.0000,-3.5943,0.0117,-0.1156
710.0000,-3.6176,-0.0143,-0.1512
720.0000,-3.6116,-0.0124,-0.2512
730.0000,-3.6600,0.0325,-0.2503
740.0000,-3.7172,0.0944,-0.1946
750.0000,-3.6580,0.2421,-0.0698
760.0000,-3.5842,0.2558,-0.0165
770.0000,-3.5009,0.1407,0.0996
780.0000,-3.4350,0.1331,0.1292
790.0000,-3.3517,0.1267,0.1526
800.0000,-3.2180,0.1933,0.1103
810.0000,-3.0782,0.1773,0.0201
820.0000,-2.9465,0.1778,-0.0798
830.0000,-2.8144,0.2383,-0.0990
840.0000,-2.6752,0.1730,-0.1174
850.0000,-2.5067,0.1277,-0.0699
860.0000,-2.3549,0.1980,-0.0427
870.0000,-2.1824,0.2233,-0.0404
880.0000,-2.0172,0.2264,-0.0477
890.0000,-1.8352,0.2527,-0.0321
900.0000,-1.6699,0.1580,0.1303
910.0000,-1.4885,0.1882,0.0748
920.0000,-1.2948,0.1966,-0.0914
930.0000,-1.1324,0.1775,-0.1035
940.0000,-0.9792,0.1160,-0.1396
950.0000,-0.8115,0.1674,-0.1479
960.0000,-0.7043,0.1394,-0.1034
970.0000,-0.5446,0.1948,-0.0934
980.0000,-0.4871,0.2485,-0.0446
990.0000,-0.3797,0.2244,-0.0675
1000.0000,-0.2833,0.1556,-0.1974
1010.0000,-0.2146,0.1524,-0.2011
1020.0000,-0.2183,0.1233,-0.1834
1030.0000,-0.2056,0.0627,-0.2431
1040.0000,-0.1716,0.0143,-0.2047
1050.0000,-0.2059,0.0924,-0.1902
1060.0000,-0.2247,-0.0303,-0.1567
1070.0000,-0.2329,-0.0323,-0.1518
1080.0000,-0.2688,0.0858,-0.1598
1090.0000,-0.2384,0.1585,-0.1178
1100.0000,-0.2673,0.1733,-0.0723
1110.0000,-0.2456,0.1796,-0.0030
1120.0000,-0.1895,0.2512,-0.0416
1130.0000,-0.1525,0.2170,-0.1089
1140.0000,-0.1306,0.1381,-0.1764
1150.0000,-0.0849,0.0518,-0.2302
1160.0000,-0.0173,-0.0770,-0.2372
1170.0000,0.0596,-0.1614,-0.1742
1180.0000,0.0361,-0.2354,-0.0771
1190.0000,0.0425,-0.2139,-0.0169
1200.0000,-0.0014,-0.2462,-0.0034
1210.0000,0.0377,-0.2205,0.0318
1220.0000,0.0987,-0.1819,0.0408
1230.0000,0.1662,-0.1462,0.0288
1240.0000,0.2458,-0.0323,0.0662
1250.0000,0.3530,0.0770,0.0191
1260.0000,0.3909,0.1172,0.0624
1270.0000,0.4222,0.1559,0.1195
1280.0000,0.4071,0.2113,0.1428
1290.0000,0.3953,0.1927,0.1286
1300.0000,0.3765,0.1813,0.0387
1310.0000,0.3643,0.1226,-0.0427
1320.0000,0.2950,0.1287,-0.0684
1330.0000,0.1991,0.1006,-0.0731
1340.0000,0.1769,0.0676,0.0199
1350.0000,0.1331,0.1083,0.0225
1360.0000,0.1356,0.0228,0.0635
1370.0000,0.0778,0.0746,0.1237
1380.0000,0.0461,0.1011,0.0812
1390.0000,0.0048,0.0875,0.0572
1400.0000,-0.0382,-0.0128,0.2209
1410.0000,-0.0696,-0.1092,0.2378
1420.0000,-0.0616,-0.0395,0.2401
1430.0000,-0.0318,-0.0115,0.1569
1440.0000,-0.0064,0.0067,0.0659
1450.0000,0.0017,0.0036,0.0874
1460.0000,0.0019,0.0804,0.1132
1470.0000,-0.0305,0.1528,0.1395
1480.0000,-0.0182,0.1824,0.1702
1490.0000,-0.0401,0.1697,0.1717
1500.0000,-0.0954,0.0890,0.2336
1510.0000,-0.0848,0.0687,0.2137
1520.0000,-0.0951,0.0318,0.1268
