Run,Final distance to center
1.0,0.7582088036946023
2.0,0.5905465773332363
3.0,1.7670810564317643
4.0,4.1306216408671474
5.0,1.5130934736492652
6.0,0.4020802034420496
7.0,2.7704669462023905
8.0,0.3913039866906546
9.0,0.25552498899324894
10.0,1.2811482076637346
11.0,0.6565378892341249
12.0,0.24862079559039305
13.0,1.292951456938736
14.0,1.4859780112774212
15.0,0.7758997551230442
16.0,0.4030967749808971
17.0,0.465094882792748
18.0,0.30247892488568523
19.0,1.6135447003414563
20.0,1.1484409170697465
21.0,1.6876506155007323
22.0,1.9471802587331253
23.0,0.28535460395795265
24.0,0.6998600860171982
25.0,0.35788379398905446
26.0,0.7080071256703565
27.0,0.24686559095993915
28.0,0.7523088262143414
29.0,1.5158095295913665
30.0,2.80367275372858
31.0,1.479528418111663
32.0,0.22432454168012914
33.0,1.6659384892606328
34.0,0.6240097835771488
35.0,1.1975245049684786
36.0,0.5455653398081663
37.0,0.6704012678985624
38.0,1.684813405098618
39.0,0.9958269377758366
40.0,1.8027934823489904
41.0,1.5534594233516368
42.0,0.7000000071428572
43.0,0.20504889660761405
44.0,0.9348601660141478
45.0,0.4631502995788732
46.0,0.4147830878905262
47.0,0.8911127930851404
48.0,1.670728179567221
49.0,0.4491630995529352
50.0,0.23541074741820944
51.0,1.0622604435824579
52.0,0.7552061771463473
53.0,0.22270936217411247
54.0,1.671383962469426
55.0,1.588229722049049
56.0,2.59728733489385
57.0,0.30068460219971355
58.0,1.4109247570299417
59.0,1.4655764736102994
60.0,2.433901470889896
61.0,1.1681504826005937
62.0,0.5378849133411348
63.0,2.0246888995596337
64.0,0.3129540541357469
65.0,0.32043340961890976
66.0,0.25178647699985796
67.0,2.8906983844738976
68.0,1.3441189902683468
69.0,0.4334027803325678
70.0,0.6757009249660682
71.0,0.5752549782487761
72.0,0.7826098581030014
73.0,0.18701136329111126
74.0,2.354519598559332
75.0,1.5964235966685034
76.0,1.6472688365898263
77.0,1.6001942132128837
78.0,1.492264818991589
79.0,0.4544637499295186
80.0,0.31927149888457
81.0,2.4019032890605736
82.0,1.2899869883064712
83.0,1.7253373264379346
84.0,1.4810085415013647
85.0,1.0122891138405075
86.0,0.876590120866075
87.0,0.3763357410610903
88.0,1.078324598625108
89.0,0.33115040389526934
90.0,3.4739527846532403
91.0,1.0030953892825947
92.0,0.4179760040959289
93.0,2.1305254797819244
94.0,2.8487709384925983
95.0,0.9977825163832046
96.0,1.2816875048154288
97.0,0.5971951272406699
98.0,2.125215626707088
99.0,3.4833339274321666
100.0,1.2283354346431596
