Run,Time to reach center
1.0,620.0
2.0,480.0
3.0,2370.0
4.0,2710.0
5.0,180.0
6.0,1530.0
7.0,2840.0
8.0,40.0
9.0,720.0
10.0,1240.0
11.0,1910.0
12.0,220.0
13.0,2740.0
14.0,790.0
15.0,90.0
16.0,1460.0
17.0,2040.0
18.0,110.0
19.0,2540.0
20.0,820.0
21.0,3320.0
22.0,1570.0
23.0,340.0
24.0,480.0
25.0,2140.0
26.0,1240.0
27.0,4410.0
28.0,1870.0
29.0,360.0
30.0,1070.0
31.0,110.0
32.0,830.0
33.0,960.0
34.0,410.0
35.0,680.0
36.0,1250.0
37.0,990.0
38.0,3730.0
39.0,1680.0
40.0,2640.0
41.0,100.0
42.0,120.0
43.0,170.0
44.0,400.0
45.0,1570.0
46.0,120.0
47.0,10.0
48.0,1590.0
49.0,3420.0
50.0,10.0
51.0,950.0
52.0,6500.0
53.0,1170.0
54.0,1390.0
55.0,1170.0
56.0,3050.0
57.0,650.0
58.0,20.0
59.0,7210.0
60.0,10.0
61.0,10.0
62.0,2870.0
63.0,120.0
64.0,110.0
65.0,1230.0
66.0,300.0
67.0,250.0
68.0,800.0
69.0,2890.0
70.0,10.0
71.0,600.0
72.0,430.0
73.0,2990.0
74.0,550.0
75.0,310.0
76.0,980.0
77.0,1650.0
78.0,780.0
79.0,1700.0
80.0,1170.0
81.0,2100.0
82.0,120.0
83.0,3310.0
84.0,1810.0
85.0,1000.0
86.0,280.0
87.0,400.0
88.0,2620.0
89.0,440.0
90.0,1510.0
91.0,270.0
92.0,1110.0
93.0,1160.0
94.0,1650.0
95.0,1680.0
96.0,2910.0
97.0,2530.0
98.0,630.0
99.0,10.0
100.0,1430.0
