Run,Time to reach center
1.0,
2.0,
3.0,110.0
4.0,550.0
5.0,
6.0,
7.0,1920.0
8.0,90.0
9.0,1030.0
10.0,330.0
11.0,3370.0
12.0,470.0
13.0,1300.0
14.0,
15.0,30.0
16.0,
17.0,940.0
18.0,3320.0
19.0,130.0
20.0,
21.0,
22.0,
23.0,
24.0,70.0
25.0,670.0
26.0,1880.0
27.0,
28.0,3060.0
29.0,3480.0
30.0,
31.0,
32.0,1040.0
33.0,1930.0
34.0,1070.0
35.0,2060.0
36.0,1440.0
37.0,
38.0,
39.0,1150.0
40.0,
41.0,3500.0
42.0,
43.0,
44.0,8730.0
45.0,
46.0,460.0
47.0,1920.0
48.0,280.0
49.0,
50.0,
51.0,360.0
52.0,
53.0,2540.0
54.0,
55.0,140.0
56.0,6580.0
57.0,
58.0,
59.0,970.0
60.0,610.0
61.0,
62.0,1080.0
63.0,680.0
64.0,770.0
65.0,950.0
66.0,2950.0
67.0,
68.0,40.0
69.0,1120.0
70.0,
71.0,1510.0
72.0,220.0
73.0,1070.0
74.0,2540.0
75.0,
76.0,
77.0,1460.0
78.0,1400.0
79.0,2190.0
80.0,2020.0
81.0,
82.0,
83.0,
84.0,
85.0,760.0
86.0,
87.0,
88.0,110.0
89.0,1740.0
90.0,
91.0,
92.0,
93.0,
94.0,1140.0
95.0,610.0
96.0,
97.0,1240.0
98.0,50.0
99.0,2270.0
100.0,1090.0
