Run,Mean,Variance,Standard deviation
1.0,,,
2.0,,,
3.0,1.2926102022227028,0.10628750654798538,0.32601764760206675
4.0,1.1715527632704845,0.17122989547376488,0.41379934204124214
5.0,,,
6.0,,,
7.0,1.1845555258755047,0.11711738542669244,0.34222417422895834
8.0,1.6153235875815146,0.028541598198749966,0.1689425884694264
9.0,1.194180379797661,0.10138072387724155,0.3184033980302998
10.0,1.1979512798088758,0.11164081122731807,0.3341269387932049
11.0,1.3933526712044346,0.07075269031413355,0.26599377871321267
12.0,1.1478419716747004,0.13417793481837656,0.366303064167332
13.0,1.2107371651504548,0.12746476831124823,0.35702208378649103
14.0,,,
15.0,1.1341543446910547,0.18536644928922838,0.4305420412564009
16.0,,,
17.0,1.0033003563165384,0.13011175373877532,0.36071006880703416
18.0,1.3520216091872768,0.09473224822034804,0.3077860429264914
19.0,1.6556159148363812,0.020890270975177646,0.14453467049527474
20.0,,,
21.0,,,
22.0,,,
23.0,,,
24.0,1.2761344506183574,0.12129521300538554,0.34827462297070333
25.0,0.9121854193238761,0.17511051083287646,0.4184620781299979
26.0,1.3644292066866246,0.09402957245102717,0.3066424178926118
27.0,,,
28.0,1.146922687367449,0.1475802144287198,0.38416170349049605
29.0,1.089084921495998,0.1278250023776509,0.3575262261396371
30.0,,,
31.0,,,
32.0,1.1106016886561363,0.17062275279278344,0.41306507089414307
33.0,1.4238660120874027,0.081402773958475,0.285311713672038
34.0,1.221157195359615,0.12237205393176638,0.3498171721510629
35.0,1.4352148066838362,0.0855746262150474,0.2925314106468695
36.0,1.1780611091277802,0.13547929681980572,0.3680751238807178
37.0,,,
38.0,,,
39.0,1.4046991417531152,0.0759901521504288,0.27566311351072853
40.0,,,
41.0,1.3607882706919103,0.09806842069577741,0.31315877873017933
42.0,,,
43.0,,,
44.0,1.2619733303572112,0.19873819489570038,0.4458006223590321
45.0,,,
46.0,1.1388687355814189,0.14079176532570675,0.37522228788507056
47.0,1.008731645411852,0.15914663181832242,0.3989318636287686
48.0,1.2208615597621735,0.11645918702680237,0.3412611712849887
49.0,,,
50.0,,,
51.0,1.3255538893388823,0.12073638064353306,0.34747140982177666
52.0,,,
53.0,1.011288172609308,0.1373323751553643,0.3705838301320827
54.0,,,
55.0,1.209965497080531,0.14792578907646792,0.38461121808453264
56.0,1.3757670149613426,0.06502835354847179,0.25500657550045996
57.0,,,
58.0,,,
59.0,1.2349211108630513,0.16172954472088666,0.40215611983517874
60.0,1.1967656398037578,0.1234388693493879,0.3513386818290692
61.0,,,
62.0,1.025959841426028,0.17059638330188626,0.41303315036675475
63.0,1.0855037317060263,0.19470806902852136,0.4412573727752561
64.0,1.0504566077171391,0.16098009469660443,0.40122324795131753
65.0,1.2732177377375382,0.15606784347675778,0.39505422852661354
66.0,1.0771809476947105,0.12272708313474653,0.3503242542770148
67.0,,,
68.0,1.1467184673798911,0.14340355176500785,0.3786866141877844
69.0,1.1373912362348506,0.17015530822031508,0.4124988584472872
70.0,,,
71.0,1.1761972017063067,0.15949568900492017,0.3993691137342999
72.0,1.2190295245888478,0.15164810940935672,0.38942022213716215
73.0,1.127576105974542,0.11582560935367683,0.3403316167411968
74.0,1.0213879722247383,0.13593858905089656,0.36869850698219075
75.0,,,
76.0,,,
77.0,1.1392784223920658,0.1480356190400576,0.38475397209133216
78.0,1.2821454216950408,0.12399661342145284,0.35213152858193886
79.0,1.1474481883388492,0.15338285386088396,0.39164123105322296
80.0,1.0032326127782807,0.19680294179683405,0.4436247759050818
81.0,,,
82.0,,,
83.0,,,
84.0,,,
85.0,1.2441022318316082,0.11285549503039902,0.3359397193402397
86.0,,,
87.0,,,
88.0,1.3005627957403596,0.10703986621242365,0.3271694762847287
89.0,1.2589861175844992,0.09992733638975719,0.3161128538825291
90.0,,,
91.0,,,
92.0,,,
93.0,,,
94.0,1.2451679706595709,0.1099114556694469,0.33152896656166697
95.0,0.9765107267968165,0.16323349818884833,0.40402165559391534
96.0,,,
97.0,1.2466399976607467,0.12171117291194992,0.3488712841607201
98.0,1.007243588123297,0.18383549937423824,0.42876042188410796
99.0,1.0597580061201992,0.19280681652051931,0.4390977300334395
100.0,1.2345289884370185,0.12725651095109597,0.35673030562470576
