Run,Final distance to center
1.0,5.086967572139614
2.0,4.93255828247371
3.0,4.721874151224279
4.0,4.602671869686128
5.0,5.254639796408504
6.0,4.607915612291527
7.0,5.213998258534423
8.0,5.050537420908789
9.0,5.065611557354155
10.0,5.247280380349424
11.0,5.15500188166794
12.0,4.721116022721747
13.0,5.254762557908778
14.0,4.4382182291996415
15.0,5.23296477438937
16.0,4.998874837400913
17.0,4.493695803011147
18.0,4.763728755922192
19.0,5.144879546694947
20.0,5.2191085340314585
21.0,5.242278884225829
22.0,5.246181207316423
23.0,5.164828562498468
24.0,4.976997035361785
25.0,4.739970989362698
26.0,5.209662862412499
27.0,4.400757317780657
28.0,5.254730487855681
29.0,4.844009200032552
30.0,5.251628563598153
31.0,5.254213062866789
32.0,5.240688742903932
33.0,5.254464952780635
34.0,5.021102518371837
35.0,5.241844668625731
36.0,4.956766683030381
37.0,5.247732435061834
38.0,5.252198839533782
39.0,5.245139694993833
40.0,4.934290840637588
41.0,5.1055144755450454
42.0,4.985538496491627
43.0,5.1370661558909285
44.0,4.996034703642479
45.0,5.088234920873839
46.0,5.1518331659711185
47.0,5.055852421699035
48.0,4.966610892751716
49.0,4.721595287612016
50.0,5.227883520125521
51.0,5.231838052730609
52.0,5.006842167474425
53.0,5.082990597079637
54.0,4.6621393383295615
55.0,5.254237700180684
56.0,5.228044074986362
57.0,5.257360704764322
58.0,5.208943497485839
59.0,5.256266061568802
60.0,5.094455062123917
61.0,4.893022822346121
62.0,5.0314674787779365
63.0,4.840611287843716
64.0,5.207034477512128
65.0,4.921047365144945
66.0,4.993731751906584
67.0,5.000345994028813
68.0,5.255116021554615
69.0,5.237530691079528
70.0,4.787667090556736
71.0,5.103902261015585
72.0,4.939908026471748
73.0,5.134620955825269
74.0,5.085835109399438
75.0,5.239581568217065
76.0,5.163627303553191
77.0,5.001571071173537
78.0,4.907051524082461
79.0,5.249601372485343
80.0,4.476973005279349
81.0,5.005685084980875
82.0,5.249830958230941
83.0,5.170532543171932
84.0,4.743380740568904
85.0,4.676180400711675
86.0,5.133118078712002
87.0,5.102768739615779
88.0,4.615541533774775
89.0,5.12014903201069
90.0,5.209859212109286
91.0,4.847276411553192
92.0,5.256895354674659
93.0,5.256582949026868
94.0,3.5183558603415888
95.0,5.25071018244199
96.0,5.246887978602174
97.0,4.981303409751307
98.0,5.248514055425592
99.0,5.254214275227078
100.0,4.992785806541274
