Run,Final distance to center
1.0,5.261153967524615
2.0,5.255300358685505
3.0,5.006058622309571
4.0,5.031823137790119
5.0,5.251392601015468
6.0,5.140248132143039
7.0,4.941563175757242
8.0,4.628578271996705
9.0,4.760749534474588
10.0,4.681568127241128
11.0,4.860249172624794
12.0,5.253552357215068
13.0,5.061850591433927
14.0,4.720526162410288
15.0,4.892900866561676
16.0,5.161960643980153
17.0,5.254079125784079
18.0,5.1183150694344715
19.0,4.966145320064648
20.0,5.258051702864854
21.0,5.248509822797324
22.0,5.249957138872659
23.0,5.005646061199293
24.0,4.654383070826896
25.0,5.266210053729342
26.0,4.739009183363121
27.0,5.249487175905852
28.0,4.961650505628143
29.0,4.958005608104936
30.0,5.248642759799909
31.0,4.530081786237418
32.0,4.7441319859379965
33.0,5.063728504768004
34.0,5.216161625179956
35.0,5.169172616579949
36.0,5.18645215441153
37.0,5.179351469054788
38.0,4.773787513075964
39.0,5.195167320693339
40.0,5.02599838937499
41.0,5.180795400322232
42.0,5.173820113803726
43.0,5.137109008966036
44.0,5.162655537608528
45.0,5.157078392849967
46.0,5.031737968137848
47.0,5.260897167784218
48.0,5.0497101629697525
49.0,4.748083766110282
50.0,5.240652384007167
51.0,5.253733336399936
52.0,5.205195301811451
53.0,4.92015277506705
54.0,4.72979867330524
55.0,5.0724797574756275
56.0,5.097988848555869
57.0,4.775692433563954
58.0,4.558941624982711
59.0,5.118266691957346
60.0,5.058081284439782
61.0,4.923592645619659
62.0,4.618391609640742
63.0,5.242179681201323
64.0,5.0555525603043625
65.0,5.188904946132662
66.0,5.256464883360299
67.0,4.683587733778454
68.0,5.26697557332479
69.0,5.263545923614612
70.0,5.259122446758584
71.0,5.030637881024632
72.0,4.65124291023378
73.0,5.0907838689144915
74.0,4.9950202371962416
75.0,5.241581614360307
76.0,5.176686011339687
77.0,5.273233973568781
78.0,5.2497107901293
79.0,4.976851578056151
80.0,4.687931933166265
81.0,5.2366234588711835
82.0,5.2245674672646345
83.0,4.434711310784503
84.0,5.241316553119073
85.0,5.065821262144965
86.0,4.783661325804744
87.0,5.131825668317271
88.0,4.8462722230596995
89.0,4.980830071383684
90.0,4.820203756066749
91.0,4.9454647001065535
92.0,5.258261208802773
93.0,5.195126505678182
94.0,5.262848477773229
95.0,4.598933165419997
96.0,5.183796510280858
97.0,4.796919282206028
98.0,5.084103116578183
99.0,5.212453715861657
100.0,4.655644763080619
